id	Verrucomicrobiota	Fibrobacterota	Desulfobacterota	Campylobacterota
19LIB028-19MET452	88	327	224	137
19LIB028-19MET453	112	154	135	93
19LIB028-19MET457	113	923	129	33
19LIB028-19MET458	141	192	273	20
19LIB028-19MET462	0	0	35	383
19LIB028-19MET465	2251	868	139	108
19LIB028-19MET466	299	263	165	94
19LIB028-19MET468	164	1002	244	21
19LIB028-19MET476	536	931	47	16
19LIB028-19MET479	671	883	72	0
19LIB028-19MET480	378	393	34	11
19LIB028-19MET484	123	156	16	30
19LIB028-19MET485	614	0	30	18
19LIB028-19MET489	329	1024	35	28
19LIB028-19MET492	428	760	49	34
19LIB028-19MET493	598	815	83	16
19LIB028-19MET495	26	199	20	8
19LIB028-19MET497	916	2309	36	0
19LIB028-19MET506	729	410	88	13
19LIB028-19MET509	68	632	0	0
19LIB028-19MET513	166	38	50	7
19LIB028-19MET514	929	1536	140	25
19LIB028-19MET519	1751	1934	11	19
19LIB028-19MET521	629	2776	8	26
19LIB028-19MET522	921	2128	36	19
19LIB028-19MET524	1565	1668	0	8
19LIB028-19MET552	1244	1274	51	0
19LIB028-19MET555	1470	1298	33	0
19LIB028-19MET556	1157	1360	27	0
19LIB028-19MET560	1058	1565	30	0
19LIB028-19MET562	1332	1627	20	0
19LIB028-19MET564	1249	1476	23	0
19LIB028-19MET565	1132	1593	15	0
19LIB028-19MET567	731	1459	33	0
19LIB028-19MET448	275	438	298	0
19LIB028-19MET450	1504	253	277	127
19LIB028-19MET451	172	181	727	16
19LIB028-19MET459	114	191	513	13
19LIB028-19MET464	494	237	878	482
19LIB028-19MET467	162	166	113	16
19LIB028-19MET469	1162	86	296	189
19LIB028-19MET470	80	434	252	95
19LIB028-19MET471	285	643	130	511
19LIB028-19MET475	0	11	18	35
19LIB028-19MET477	276	869	88	22
19LIB028-19MET478	236	338	50	19
19LIB028-19MET486	82	448	33	0
19LIB028-19MET491	0	1642	10	0
19LIB028-19MET494	114	426	50	19
19LIB028-19MET496	100	478	34	12
19LIB028-19MET498	194	439	73	11
19LIB028-19MET499	7	209	29	28
19LIB028-19MET503	10	76	11	18
19LIB028-19MET504	88	1070	16	10
19LIB028-19MET505	73	750	63	13
19LIB028-19MET508	0	459	21	6
19LIB028-19MET516	305	314	58	40
19LIB028-19MET523	247	1435	25	22
19LIB028-19MET525	243	2325	52	36
19LIB028-19MET526	0	0	393	7
19LIB028-19MET527	20	205	136	7
19LIB028-19MET551	930	774	30	0
19LIB028-19MET553	903	1033	12	0
19LIB028-19MET554	1040	780	30	0
19LIB028-19MET559	1286	700	33	0
19LIB028-19MET563	1430	169	27	0
19LIB028-19MET566	907	582	9	0
19LIB028-19MET568	734	872	52	0
19LIB028-19MET569	1633	904	50	0
19LIB028-19MET447	223	141	444	30
19LIB028-19MET454	239	1094	1035	174
19LIB028-19MET455	0	0	579	27
19LIB028-19MET456	0	3032	1022	486
19LIB028-19MET460	17	9	389	163
19LIB028-19MET461	529	117	595	78
19LIB028-19MET463	21	417	782	0
19LIB028-19MET472	126	173	705	96
19LIB028-19MET473	145	164	1848	328
19LIB028-19MET474	0	504	102	11
19LIB028-19MET481	407	344	468	6
19LIB028-19MET482	0	0	627	0
19LIB028-19MET483	551	0	172	10
19LIB028-19MET487	232	307	153	9
19LIB028-19MET488	266	624	226	13
19LIB028-19MET490	453	95	25	40
19LIB028-19MET500	467	85	36	17
19LIB028-19MET501	163	118	143	25
19LIB028-19MET502	28	33	74	3
19LIB028-19MET510	133	913	102	12
19LIB028-19MET511	97	2737	5	13
19LIB028-19MET512	612	841	53	0
19LIB028-19MET517	264	240	88	22
19LIB028-19MET518	359	267	64	14
19LIB028-19MET520	0	0	305	70
19LIB028-19MET528	1360	528	78	35
19LIB028-19MET529	405	731	22	9
19LIB028-19MET550	2234	1696	13	0
19LIB028-19MET557	1252	1233	66	0
19LIB028-19MET558	1284	1662	44	0
19LIB028-19MET561	1527	1361	31	0
