id	Methanobrevibacter	Absconditabacteriales_(SR1)	Acinetobacter	Fusobacterium	Prevotellaceae_UCG-001	[Eubacterium]_nodatum_group	Lachnospiraceae_NC2004_group	Lachnospira	[Bacteroides]_pectinophilus_group	Lachnospiraceae_NK4A136_group	FD2005	Lachnoclostridium
19LIB028-19MET475	0	0	0	419	237	19	0	0	0	0	0	0
19LIB028-19MET477	110	767	22	0	138	0	7	0	10	69	30	14
19LIB028-19MET478	76	394	0	5	364	0	17	16	0	117	13	20
19LIB028-19MET486	140	659	0	0	1070	0	11	0	33	50	20	16
19LIB028-19MET491	0	1037	46	585	326	9	44	66	0	212	222	62
19LIB028-19MET494	0	693	6	8	251	0	14	9	13	105	50	50
19LIB028-19MET496	0	394	27	32	462	0	23	14	4	141	57	167
19LIB028-19MET498	0	537	16	4	439	0	30	95	14	79	57	125
19LIB028-19MET499	62	244	0	8	166	13	5	67	11	12	71	17
19LIB028-19MET476	107	5	0	0	769	0	0	0	0	76	28	14
19LIB028-19MET479	0	204	0	0	213	0	7	0	0	85	15	16
19LIB028-19MET480	0	604	0	0	155	0	0	0	0	53	0	59
19LIB028-19MET484	0	171	0	0	449	0	0	0	0	110	0	29
19LIB028-19MET485	0	39	0	0	333	0	0	0	0	26	24	12
19LIB028-19MET489	0	0	0	0	17109	0	0	0	0	72	41	14
19LIB028-19MET492	97	314	0	0	732	0	39	0	0	81	43	94
19LIB028-19MET493	0	460	0	0	297	0	14	0	0	59	18	56
19LIB028-19MET495	67	0	0	0	307	0	13	0	0	14	0	32
19LIB028-19MET474	0	0	0	3	0	0	0	0	0	0	0	0
19LIB028-19MET481	0	6	0	0	427	12	0	0	0	0	0	0
19LIB028-19MET482	0	0	0	0	0	0	0	0	0	0	0	0
19LIB028-19MET483	0	9	0	0	0	12	0	0	0	189	0	0
19LIB028-19MET487	0	11	5	0	116	16	0	0	0	16	0	0
19LIB028-19MET488	0	0	19	15	125	10	0	0	0	0	0	0
19LIB028-19MET490	0	0	7	10	0	13	0	0	0	6	0	0
19LIB028-19MET500	0	0	0	0	155	0	0	0	0	0	0	0
19LIB028-19MET501	0	173	19	8	0	5	0	0	0	0	0	0
