id	p-1088-a5_gut_group	WCHB1-41	Gastranaerophilales	Anaeroplasma	UCG-004	vadinBE97	Rikenellaceae_RC9_gut_group	Bacteroidales_BS11_gut_group	UCG-010	Monoglobus	Lachnospiraceae_AC2044_group
19LIB028-19MET475	0	0	0	0	0	0	0	0	0	0	0
19LIB028-19MET477	79	242	82	32	28	34	2727	52	54	0	831
19LIB028-19MET478	0	215	341	63	24	21	1190	139	78	0	166
19LIB028-19MET486	6	73	0	16	0	9	1345	0	0	0	249
19LIB028-19MET491	0	0	85	248	77	0	1671	0	0	0	626
19LIB028-19MET494	0	100	334	145	75	14	2180	0	22	0	442
19LIB028-19MET496	14	82	87	105	57	18	2770	0	31	0	1065
19LIB028-19MET498	6	171	182	177	43	23	1994	116	36	0	321
19LIB028-19MET499	0	7	16	185	16	0	1093	0	0	0	120
19LIB028-19MET476	59	414	873	270	279	122	3712	368	100	5	349
19LIB028-19MET479	31	541	432	127	338	130	3134	125	148	45	309
19LIB028-19MET480	0	331	56	79	242	47	1665	87	114	60	254
19LIB028-19MET484	13	123	61	46	54	0	1329	0	8	0	104
19LIB028-19MET485	24	513	325	168	137	101	3709	233	62	33	136
19LIB028-19MET489	21	329	304	1091	141	0	2032	0	20	0	398
19LIB028-19MET492	60	365	186	574	211	63	2488	218	135	39	483
19LIB028-19MET493	88	512	301	312	346	86	1499	126	198	28	391
19LIB028-19MET495	86	15	119	23	15	11	3776	0	15	0	33
19LIB028-19MET474	0	0	6	14	27	0	2627	0	54	0	0
19LIB028-19MET481	35	386	44	8	33	21	2546	0	105	0	52
19LIB028-19MET482	0	0	0	0	0	0	0	0	0	0	0
19LIB028-19MET483	27	480	0	15	0	71	3019	0	286	22	186
19LIB028-19MET487	71	200	36	0	30	32	3331	0	178	0	467
19LIB028-19MET488	11	255	13	55	1058	11	2821	0	17	0	161
19LIB028-19MET490	21	432	373	64	170	21	1345	0	33	11	102
19LIB028-19MET500	25	450	125	63	17	17	3898	0	72	0	226
19LIB028-19MET501	8	163	71	63	28	0	1193	0	65	7	205
