id	Desulfovibrio	Rhodocyclaceae Family	Succinivibrio	Succinatimonas	Succinivibrionaceae_UCG-001	Succinivibrionaceae_UCG-002	Selenomonas	Prevotellaceae Family	UCG-002	Colidextribacter	Ruminococcaceae	[Eubacterium]_coprostanoligenes_group	Lachnospiraceae_UCG-010	Coprococcus	[Eubacterium]_eligens_group	[Eubacterium]_hallii_group	Oribacterium	Erysipelotrichaceae_uncultured
19LIB028-19MET475	5	0	1811	0	0	149	144	338	0	0	0	0	0	0	0	0	91	0
19LIB028-19MET477	65	4	0	0	0	38	58	59	48	0	11	139	6	44	0	22	26	0
19LIB028-19MET478	24	0	0	0	0	1913	102	0	44	0	53	79	11	8	0	16	14	0
19LIB028-19MET486	19	4	0	0	0	4724	23	19	10	0	16	268	9	115	0	10	32	0
19LIB028-19MET491	10	0	41	0	620	527	148	0	13	0	12	10	0	184	0	23	147	0
19LIB028-19MET494	25	46	0	0	0	3881	57	95	88	0	0	35	10	345	0	7	27	0
19LIB028-19MET496	27	0	63	0	2108	7585	69	14	69	0	0	300	0	114	0	0	35	29
19LIB028-19MET498	50	0	0	0	0	1368	121	44	83	0	0	64	0	44	0	12	29	56
19LIB028-19MET499	29	46	78	0	628	1356	54	546	37	0	0	31	0	64	0	0	38	30
19LIB028-19MET476	29	0	40	0	0	0	272	9	17	0	0	15	0	0	0	9	48	0
19LIB028-19MET479	46	0	18	0	0	29	75	47	0	0	0	76	0	4	0	21	42	0
19LIB028-19MET480	34	0	0	0	0	3897	35	34	0	0	0	0	0	13	0	0	13	0
19LIB028-19MET484	0	0	0	0	0	1154	78	115	0	0	0	7	0	0	0	0	20	0
19LIB028-19MET485	13	0	19	0	0	708	222	59	0	0	0	53	0	6	0	0	21	0
19LIB028-19MET489	20	0	58	0	0	262	551	24	0	0	0	17	0	0	0	0	0	0
19LIB028-19MET492	41	0	22	0	0	1289	230	0	23	0	0	57	0	0	0	23	41	0
19LIB028-19MET493	56	0	18	0	0	1172	161	7	0	0	0	282	0	0	0	0	60	0
19LIB028-19MET495	0	0	521	0	0	68	713	4	24	0	0	58	0	0	0	0	18	0
19LIB028-19MET474	91	4	122	0	0	4469	187	0	226	104	34	37	6	0	25	52	27	61
19LIB028-19MET481	468	19	0	26	0	866	730	269	76	0	244	403	6	16	174	50	19	0
19LIB028-19MET482	627	0	913	74	0	0	27	30	0	0	0	0	0	0	74	0	112	0
19LIB028-19MET483	150	24	13	0	0	483	62	557	456	0	93	260	4	90	36	98	14	0
19LIB028-19MET487	118	0	86	13	9	3121	114	628	97	174	31	152	13	120	19	46	43	0
19LIB028-19MET488	201	13	968	20	12	4920	154	88	75	10	71	21	0	0	0	0	29	158
19LIB028-19MET490	25	8	0	102	7462	2695	135	26	174	0	0	116	0	50	0	17	11	45
19LIB028-19MET500	8	9	0	0	0	5215	183	143	0	14	0	0	0	11	0	0	22	81
19LIB028-19MET501	131	29	13	0	1819	41	109	49	73	18	0	25	2	7	0	18	42	42
