id	Desulfobulbus	Pseudomonas	Megasphaera	NED5E9	Sharpea	Erysipelotrichaceae_UCG-002	UCG-004	Prevotellaceae_UCG-004	Prevotella_7	Prevotellaceae_UCG-001	Muribaculaceae	UCG-005	Defluviitaleaceae_UCG-011	Coprococcus	Lachnospira	Shuttleworthia	Lachnospiraceae Family	Pseudobutyrivibrio	Lachnoclostridium	Marvinbryantia	Selenomonadaceae_uncultured
19LIB028-19MET503	3	14	0	0	159	0	0	681	0	1462	1212	426	127	10	0	15	243	146	11	13	0
19LIB028-19MET504	0	8	0	11	0	601	284	112	623	443	21	22	67	8	183	494	170	347	158	10	140
19LIB028-19MET505	10	46	0	21	86	0	77	204	0	1691	219	139	88	15	38	61	142	201	16	22	0
19LIB028-19MET508	0	5	0	0	123	1368	154	49	40	371	48	0	41	4	32	160	435	105	216	0	0
19LIB028-19MET516	20	0	444	170	0	283	110	13	0	466	0	124	12	0	0	35	274	343	18	0	0
19LIB028-19MET523	11	0	0	28	0	121	138	79	30	372	155	0	54	5	168	126	145	191	97	0	0
19LIB028-19MET525	11	16	0	20	144	6	108	148	20	637	374	0	30	0	0	30	86	209	65	11	0
19LIB028-19MET526	0	0	1429	0	471	1306	84	0	46	21	0	0	0	0	72	645	196	76	212	0	712
19LIB028-19MET527	12	0	40	0	271	150	315	68	294	193	19	15	49	0	280	1389	118	189	320	0	191
19LIB028-19MET497	5	0	0	0	0	0	457	0	0	1340	40	23	32	0	0	33	151	449	0	0	0
19LIB028-19MET506	0	0	0	0	0	0	140	23	0	691	29	0	16	0	0	11	150	419	10	0	0
19LIB028-19MET509	0	0	0	0	0	0	44	83	0	426	25	19	11	9	102	97	113	189	11	0	0
19LIB028-19MET513	0	0	0	0	0	0	130	15	0	424	0	0	35	23	19	60	134	192	15	0	0
19LIB028-19MET514	0	0	0	0	0	0	100	12	0	7365	0	0	45	4	0	16	86	155	16	0	0
19LIB028-19MET519	11	0	0	47	0	0	464	38	0	579	0	0	29	5	0	24	133	611	35	0	0
19LIB028-19MET521	0	0	0	0	0	0	275	71	0	379	0	63	56	0	17	127	201	254	51	0	0
19LIB028-19MET522	10	0	0	24	0	0	176	37	0	2569	42	0	51	10	0	6	61	323	15	0	0
19LIB028-19MET524	0	0	0	26	0	0	220	0	0	2023	8	0	2	0	0	15	175	614	42	0	0
19LIB028-19MET502	0	0	0	56	0	39	8	68	24	30	505	0	7	0	0	173	191	160	54	0	0
19LIB028-19MET510	4	0	0	0	0	15	96	180	0	320	0	0	5	0	0	142	77	77	10	0	0
19LIB028-19MET511	5	0	0	29	0	0	111	290	44	1137	0	0	36	0	0	36	65	153	20	13	0
19LIB028-19MET512	0	0	0	67	0	5	76	164	0	229	199	0	32	0	0	0	86	150	45	12	0
19LIB028-19MET517	23	7	0	0	0	0	33	0	0	215	0	0	49	0	0	34	53	363	0	13	0
19LIB028-19MET518	0	13	0	0	0	0	83	7	13	170	0	0	39	0	0	67	104	253	10	9	0
19LIB028-19MET520	11	0	0	0	0	838	0	0	0	266	0	0	0	0	0	10	0	0	210	0	0
19LIB028-19MET528	0	0	0	0	0	0	141	108	0	902	12	0	38	0	0	25	79	346	46	0	0
19LIB028-19MET529	0	27	0	94	0	0	91	19	161	462	66	0	66	0	0	113	151	351	53	24	0
