id	Bifidobacterium	Desulfovibrio	Campylobacter	Succinivibrionaceae_UCG-001	Bacteroidales_RF16_group	UCG-002	Colidextribacter	Lachnospiraceae_NK3A20_group
19LIB028-19MET503	163	8	18	0	0	341	0	392
19LIB028-19MET504	40	16	10	6921	346	18	0	304
19LIB028-19MET505	84	53	13	0	39	24	0	1956
19LIB028-19MET508	19	21	6	0	46	6	0	206
19LIB028-19MET516	10	38	40	0	72	4	0	115
19LIB028-19MET523	107	14	22	489	588	0	0	254
19LIB028-19MET525	0	41	36	818	468	42	0	174
19LIB028-19MET526	291	393	7	4344	0	0	0	21
19LIB028-19MET527	130	124	7	7199	15	38	0	131
19LIB028-19MET497	0	25	0	0	2234	17	0	189
19LIB028-19MET506	0	69	13	0	3990	28	0	99
19LIB028-19MET509	4	0	0	0	392	0	0	284
19LIB028-19MET513	8	50	7	0	608	0	0	1430
19LIB028-19MET514	0	117	25	0	5835	8	0	82
19LIB028-19MET519	0	0	19	0	4652	0	0	117
19LIB028-19MET521	29	0	26	0	344	0	0	365
19LIB028-19MET522	0	0	19	0	3655	0	0	155
19LIB028-19MET524	0	0	8	0	5051	0	0	67
19LIB028-19MET502	0	74	3	5	274	41	54	328
19LIB028-19MET510	0	98	12	8241	1382	38	24	269
19LIB028-19MET511	5	0	13	8180	109	45	0	733
19LIB028-19MET512	6	31	0	0	3135	69	0	520
19LIB028-19MET517	0	65	22	0	204	14	27	234
19LIB028-19MET518	0	64	14	4616	1936	26	26	246
19LIB028-19MET520	24	294	70	1962	0	14	0	4
19LIB028-19MET528	0	55	35	0	3649	13	30	244
19LIB028-19MET529	0	10	9	754	2213	0	11	354
