id	WCHB1-41	Fibrobacter	Ruminobacter	Christensenellaceae_R-7_group	Anaeroplasma	vadinBE97	Rikenellaceae_RC9_gut_group	Paraprevotella	Bacteroidales_BS11_gut_group	Anaerovorax	Papillibacter	NK4A214_group	FD2005	Lachnospiraceae_FCS020_group
19LIB028-19MET503	10	76	0	455	19	0	1739	0	0	17	16	334	73	27
19LIB028-19MET504	66	1070	0	410	136	22	789	0	33	23	0	119	18	12
19LIB028-19MET505	73	750	0	1021	102	0	2619	97	0	55	0	387	22	13
19LIB028-19MET508	0	459	0	84	158	0	620	0	0	5	0	104	0	0
19LIB028-19MET516	288	314	0	157	357	17	1006	0	38	0	0	26	0	226
19LIB028-19MET523	227	1435	0	652	262	20	2146	10	119	62	50	447	62	29
19LIB028-19MET525	192	2325	0	707	269	51	2513	13	100	96	142	460	23	6
19LIB028-19MET526	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19LIB028-19MET527	20	205	0	240	124	0	303	0	13	11	0	230	50	0
19LIB028-19MET497	808	2309	282	772	779	77	3955	52	187	64	48	413	43	21
19LIB028-19MET506	647	410	2	691	806	82	2573	0	381	26	91	566	46	2
19LIB028-19MET509	48	632	548	668	211	20	758	30	0	44	30	172	14	19
19LIB028-19MET513	132	38	845	1243	76	17	2062	77	305	39	12	543	185	0
19LIB028-19MET514	853	1536	9	1224	372	76	3677	32	112	104	104	616	12	39
19LIB028-19MET519	1664	1934	50	803	927	87	3150	34	17	46	52	368	32	30
19LIB028-19MET521	596	2776	13	976	514	33	2686	160	238	96	36	472	21	4
19LIB028-19MET522	808	2128	721	1265	556	113	3518	41	99	123	132	736	36	33
19LIB028-19MET524	1467	1668	33	757	636	78	2445	106	153	33	107	376	41	67
19LIB028-19MET502	28	33	6	234	57	0	768	0	0	0	12	17	0	0
19LIB028-19MET510	125	913	0	567	184	8	638	0	0	0	60	284	0	0
19LIB028-19MET511	91	2737	18	386	167	6	2095	278	14	19	0	382	55	0
19LIB028-19MET512	498	841	48	1645	772	114	2548	68	15	63	73	516	0	0
19LIB028-19MET517	254	240	1155	1058	16	10	1703	29	29	40	0	519	0	0
19LIB028-19MET518	340	267	394	869	181	19	3379	35	577	59	60	208	40	0
19LIB028-19MET520	0	0	0	0	0	0	0	0	0	0	0	25	0	0
19LIB028-19MET528	1281	528	371	957	722	79	3081	20	97	86	116	513	16	0
19LIB028-19MET529	348	731	0	1085	492	57	3193	19	47	24	30	646	19	0
