"","id","19LIB028-19MET452","19LIB028-19MET453","19LIB028-19MET457","19LIB028-19MET458","19LIB028-19MET462","19LIB028-19MET465","19LIB028-19MET466","19LIB028-19MET468","19LIB028-19MET476","19LIB028-19MET479","19LIB028-19MET480","19LIB028-19MET484","19LIB028-19MET485","19LIB028-19MET489","19LIB028-19MET492","19LIB028-19MET493","19LIB028-19MET495","19LIB028-19MET497","19LIB028-19MET506","19LIB028-19MET509","19LIB028-19MET513","19LIB028-19MET514","19LIB028-19MET519","19LIB028-19MET521","19LIB028-19MET522","19LIB028-19MET524","19LIB028-19MET552","19LIB028-19MET555","19LIB028-19MET556","19LIB028-19MET560","19LIB028-19MET562","19LIB028-19MET564","19LIB028-19MET565","19LIB028-19MET567","19LIB028-19MET448","19LIB028-19MET450","19LIB028-19MET451","19LIB028-19MET459","19LIB028-19MET464","19LIB028-19MET467","19LIB028-19MET469","19LIB028-19MET470","19LIB028-19MET471","19LIB028-19MET475","19LIB028-19MET477","19LIB028-19MET478","19LIB028-19MET486","19LIB028-19MET491","19LIB028-19MET494","19LIB028-19MET496","19LIB028-19MET498","19LIB028-19MET499","19LIB028-19MET503","19LIB028-19MET504","19LIB028-19MET505","19LIB028-19MET508","19LIB028-19MET516","19LIB028-19MET523","19LIB028-19MET525","19LIB028-19MET526","19LIB028-19MET527","19LIB028-19MET551","19LIB028-19MET553","19LIB028-19MET554","19LIB028-19MET559","19LIB028-19MET563","19LIB028-19MET566","19LIB028-19MET568","19LIB028-19MET569","19LIB028-19MET447","19LIB028-19MET454","19LIB028-19MET455","19LIB028-19MET456","19LIB028-19MET460","19LIB028-19MET461","19LIB028-19MET463","19LIB028-19MET472","19LIB028-19MET473","19LIB028-19MET474","19LIB028-19MET481","19LIB028-19MET482","19LIB028-19MET483","19LIB028-19MET487","19LIB028-19MET488","19LIB028-19MET490","19LIB028-19MET500","19LIB028-19MET501","19LIB028-19MET502","19LIB028-19MET510","19LIB028-19MET511","19LIB028-19MET512","19LIB028-19MET517","19LIB028-19MET518","19LIB028-19MET520","19LIB028-19MET528","19LIB028-19MET529","19LIB028-19MET550","19LIB028-19MET557","19LIB028-19MET558","19LIB028-19MET561","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","b6c4d097909dadb204cc5554f1489a3e",0,0,0,0,0,0,0,0,0,0,10,0,0,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,12,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera",NA
"2","b788f20b6a06f145a05fe80dbc9f5b8e",94,0,0,0,0,86,65,54,107,0,0,0,0,0,97,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,79,0,0,0,0,0,63,0,110,76,140,0,0,0,0,62,240,0,180,0,0,0,0,0,45,0,0,84,40,97,66,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",NA
"3","8d042f9cf72a041ba23ae158338e0c45",0,0,11,0,0,20,7,28,0,0,17,9,12,13,11,0,0,0,8,19,20,13,13,0,16,0,0,0,0,0,0,0,0,0,0,0,17,0,10,0,0,14,0,0,13,31,0,14,0,23,0,18,0,0,0,0,0,10,15,11,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,5,0,7,0,0,28,10,13,0,0,0,0,49,0,0,0,0,11,25,14,0,0,10,"d__Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Candidatus_Methanomethylophilus",NA
"4","931e4f64ac672910fb50ea2ebae6ee7b",23,21,20,65,0,305,147,133,103,62,30,37,56,0,104,136,41,49,0,7,79,87,20,17,37,89,94,78,89,32,76,38,73,84,116,138,53,0,0,59,128,61,130,0,112,26,23,13,18,26,29,0,82,0,8,0,0,6,0,0,0,51,39,76,64,73,77,74,61,21,11,0,0,35,31,70,33,8,107,67,0,18,10,0,48,31,18,0,13,0,24,16,0,0,21,22,109,101,43,76,"d__Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","uncultured",NA
"5","72d46656d5509cc5ccd940c45e764705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,"d__Bacteria","Planctomycetota","Pla4_lineage","Pla4_lineage","Pla4_lineage","Pla4_lineage",NA
"6","01ece2e98247b80bec855be92f3cfa2e",6,6,0,17,0,0,0,0,11,0,0,0,13,6,8,35,0,23,32,0,0,8,4,0,0,0,22,20,5,4,13,13,11,5,0,20,10,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,4,10,14,8,37,12,"d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"7","96be9425802658e4e6a65b9a008756ad",8,71,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,0,0,15,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,"d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","CPla-4_termite_group",NA
"8","de538b4503aa6cb78336f2067daaed3c",71,29,12,8,8,145,20,0,59,31,0,13,24,21,60,88,86,9,14,7,25,22,18,37,12,11,0,0,0,0,0,0,0,0,20,156,50,7,0,17,22,17,27,0,79,0,6,0,0,14,6,0,124,14,39,0,34,15,22,0,8,17,0,13,8,12,14,5,12,32,49,0,0,12,78,66,32,0,0,35,0,27,71,11,21,25,8,17,0,17,75,16,43,0,29,0,25,21,15,28,"d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","p-1088-a5_gut_group",NA
"9","62c055834682cd9e7f578b46be16a432",0,0,0,0,0,0,0,0,45,41,25,0,15,30,27,0,0,49,0,0,0,0,8,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10,52,0,0,12,40,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,48,18,31,0,31,30,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,41,24,44,"d__Bacteria","Elusimicrobiota","Endomicrobia","Endomicrobiales","Endomicrobiaceae","Endomicrobium",NA
"10","bf9f6c2cd7d968863f7c3e81fc96bc31",0,0,0,0,0,0,0,0,37,150,0,0,0,0,0,21,0,23,49,4,0,29,0,0,22,0,0,20,16,12,21,0,23,29,0,0,0,0,0,0,0,0,0,0,135,89,82,0,41,0,60,9,0,13,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,7,24,0,44,10,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,0,33,"d__Bacteria","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobium",NA
