id	Euryarchaeota	Planctomycetota	Elusimicrobiota	Patescibacteria	Verrucomicrobiota	Cyanobacteria	Desulfobacterota	Proteobacteria	Fusobacteriota	Bacteroidota
19LIB028-19MET475	0	0	0	0	0	0	18	2084	419	3165
19LIB028-19MET477	110	79	147	767	276	82	88	401	0	9906
19LIB028-19MET478	76	0	129	394	236	341	50	2064	10	6951
19LIB028-19MET486	140	6	82	659	82	0	33	5109	0	9849
19LIB028-19MET491	0	0	0	1037	0	85	10	3597	703	17984
19LIB028-19MET494	0	0	47	693	114	334	50	6409	8	10644
19LIB028-19MET496	0	14	39	394	100	87	34	10820	36	13016
19LIB028-19MET498	0	6	60	537	194	182	73	3613	4	11110
19LIB028-19MET499	62	0	9	244	7	16	29	4461	8	21173
19LIB028-19MET476	107	70	82	5	536	873	47	165	0	11283
19LIB028-19MET479	0	31	191	204	671	432	72	308	0	9381
19LIB028-19MET480	10	0	25	604	378	56	34	4436	0	7798
19LIB028-19MET484	0	13	0	171	123	61	16	2756	0	11016
19LIB028-19MET485	0	37	15	39	614	325	30	1090	0	17881
19LIB028-19MET489	0	27	30	0	329	304	35	491	0	26698
19LIB028-19MET492	120	68	27	314	428	186	49	1443	0	13958
19LIB028-19MET493	9	123	21	460	598	301	83	1624	0	10994
19LIB028-19MET495	67	86	0	0	26	119	20	602	0	11874
19LIB028-19MET474	0	0	0	0	0	6	102	5696	3	12782
19LIB028-19MET481	0	35	0	6	407	44	468	1053	0	22029
19LIB028-19MET482	0	0	0	0	0	0	627	987	0	477
19LIB028-19MET483	0	27	0	9	551	0	172	1706	0	11450
19LIB028-19MET487	0	71	0	11	232	36	153	3811	0	13206
19LIB028-19MET488	0	11	0	0	266	13	226	7166	15	28225
19LIB028-19MET490	0	21	0	0	453	373	25	10973	10	20491
19LIB028-19MET500	0	25	0	0	467	125	36	6138	0	13513
19LIB028-19MET501	0	8	0	173	163	71	143	1992	8	4898
