id	Desulfobacterota	Proteobacteria
19LIB028-19MET475	18	2084
19LIB028-19MET477	88	401
19LIB028-19MET478	50	2064
19LIB028-19MET486	33	5109
19LIB028-19MET491	10	3597
19LIB028-19MET494	50	6409
19LIB028-19MET496	34	10820
19LIB028-19MET498	73	3613
19LIB028-19MET499	29	4461
19LIB028-19MET476	47	165
19LIB028-19MET479	72	308
19LIB028-19MET480	34	4436
19LIB028-19MET484	16	2756
19LIB028-19MET485	30	1090
19LIB028-19MET489	35	491
19LIB028-19MET492	49	1443
19LIB028-19MET493	83	1624
19LIB028-19MET495	20	602
19LIB028-19MET474	102	5696
19LIB028-19MET481	468	1053
19LIB028-19MET482	627	987
19LIB028-19MET483	172	1706
19LIB028-19MET487	153	3811
19LIB028-19MET488	226	7166
19LIB028-19MET490	25	10973
19LIB028-19MET500	36	6138
19LIB028-19MET501	143	1992
