id	Euryarchaeota	Elusimicrobiota	Patescibacteria	Fusobacteriota
19LIB028-19MET475	0	0	0	419
19LIB028-19MET477	110	147	767	0
19LIB028-19MET478	76	129	394	10
19LIB028-19MET486	140	82	659	0
19LIB028-19MET491	0	0	1037	703
19LIB028-19MET494	0	47	693	8
19LIB028-19MET496	0	39	394	36
19LIB028-19MET498	0	60	537	4
19LIB028-19MET499	62	9	244	8
19LIB028-19MET476	107	82	5	0
19LIB028-19MET479	0	191	204	0
19LIB028-19MET480	10	25	604	0
19LIB028-19MET484	0	0	171	0
19LIB028-19MET485	0	15	39	0
19LIB028-19MET489	0	30	0	0
19LIB028-19MET492	120	27	314	0
19LIB028-19MET493	9	21	460	0
19LIB028-19MET495	67	0	0	0
19LIB028-19MET474	0	0	0	3
19LIB028-19MET481	0	0	6	0
19LIB028-19MET482	0	0	0	0
19LIB028-19MET483	0	0	9	0
19LIB028-19MET487	0	0	11	0
19LIB028-19MET488	0	0	0	15
19LIB028-19MET490	0	0	0	10
19LIB028-19MET500	0	0	0	0
19LIB028-19MET501	0	0	173	8
