id	Planctomycetota	Verrucomicrobiota	Cyanobacteria	Bacteroidota
19LIB028-19MET475	0	0	0	3165
19LIB028-19MET477	79	276	82	9906
19LIB028-19MET478	0	236	341	6951
19LIB028-19MET486	6	82	0	9849
19LIB028-19MET491	0	0	85	17984
19LIB028-19MET494	0	114	334	10644
19LIB028-19MET496	14	100	87	13016
19LIB028-19MET498	6	194	182	11110
19LIB028-19MET499	0	7	16	21173
19LIB028-19MET476	70	536	873	11283
19LIB028-19MET479	31	671	432	9381
19LIB028-19MET480	0	378	56	7798
19LIB028-19MET484	13	123	61	11016
19LIB028-19MET485	37	614	325	17881
19LIB028-19MET489	27	329	304	26698
19LIB028-19MET492	68	428	186	13958
19LIB028-19MET493	123	598	301	10994
19LIB028-19MET495	86	26	119	11874
19LIB028-19MET474	0	0	6	12782
19LIB028-19MET481	35	407	44	22029
19LIB028-19MET482	0	0	0	477
19LIB028-19MET483	27	551	0	11450
19LIB028-19MET487	71	232	36	13206
19LIB028-19MET488	11	266	13	28225
19LIB028-19MET490	21	453	373	20491
19LIB028-19MET500	25	467	125	13513
19LIB028-19MET501	8	163	71	4898
