id	Desulfobacterota	Campylobacterota
19LIB028-19MET452	224	137
19LIB028-19MET453	135	93
19LIB028-19MET457	129	33
19LIB028-19MET458	273	20
19LIB028-19MET462	35	383
19LIB028-19MET465	139	108
19LIB028-19MET466	165	94
19LIB028-19MET468	244	21
19LIB028-19MET476	47	16
19LIB028-19MET479	72	0
19LIB028-19MET480	34	11
19LIB028-19MET484	16	30
19LIB028-19MET485	30	18
19LIB028-19MET489	35	28
19LIB028-19MET492	49	34
19LIB028-19MET493	83	16
19LIB028-19MET495	20	8
19LIB028-19MET497	36	0
19LIB028-19MET506	88	13
19LIB028-19MET509	0	0
19LIB028-19MET513	50	7
19LIB028-19MET514	140	25
19LIB028-19MET519	11	19
19LIB028-19MET521	8	26
19LIB028-19MET522	36	19
19LIB028-19MET524	0	8
19LIB028-19MET552	51	0
19LIB028-19MET555	33	0
19LIB028-19MET556	27	0
19LIB028-19MET560	30	0
19LIB028-19MET562	20	0
19LIB028-19MET564	23	0
19LIB028-19MET565	15	0
19LIB028-19MET567	33	0
19LIB028-19MET448	298	0
19LIB028-19MET450	277	127
19LIB028-19MET451	727	16
19LIB028-19MET459	513	13
19LIB028-19MET464	878	482
19LIB028-19MET467	113	16
19LIB028-19MET469	296	189
19LIB028-19MET470	252	95
19LIB028-19MET471	130	511
19LIB028-19MET475	18	35
19LIB028-19MET477	88	22
19LIB028-19MET478	50	19
19LIB028-19MET486	33	0
19LIB028-19MET491	10	0
19LIB028-19MET494	50	19
19LIB028-19MET496	34	12
19LIB028-19MET498	73	11
19LIB028-19MET499	29	28
19LIB028-19MET503	11	18
19LIB028-19MET504	16	10
19LIB028-19MET505	63	13
19LIB028-19MET508	21	6
19LIB028-19MET516	58	40
19LIB028-19MET523	25	22
19LIB028-19MET525	52	36
19LIB028-19MET526	393	7
19LIB028-19MET527	136	7
19LIB028-19MET551	30	0
19LIB028-19MET553	12	0
19LIB028-19MET554	30	0
19LIB028-19MET559	33	0
19LIB028-19MET563	27	0
19LIB028-19MET566	9	0
19LIB028-19MET568	52	0
19LIB028-19MET569	50	0
19LIB028-19MET447	444	30
19LIB028-19MET454	1035	174
19LIB028-19MET455	579	27
19LIB028-19MET456	1022	486
19LIB028-19MET460	389	163
19LIB028-19MET461	595	78
19LIB028-19MET463	782	0
19LIB028-19MET472	705	96
19LIB028-19MET473	1848	328
19LIB028-19MET474	102	11
19LIB028-19MET481	468	6
19LIB028-19MET482	627	0
19LIB028-19MET483	172	10
19LIB028-19MET487	153	9
19LIB028-19MET488	226	13
19LIB028-19MET490	25	40
19LIB028-19MET500	36	17
19LIB028-19MET501	143	25
19LIB028-19MET502	74	3
19LIB028-19MET510	102	12
19LIB028-19MET511	5	13
19LIB028-19MET512	53	0
19LIB028-19MET517	88	22
19LIB028-19MET518	64	14
19LIB028-19MET520	305	70
19LIB028-19MET528	78	35
19LIB028-19MET529	22	9
19LIB028-19MET550	13	0
19LIB028-19MET557	66	0
19LIB028-19MET558	44	0
19LIB028-19MET561	31	0
