id	Verrucomicrobiota	Fibrobacterota
19LIB028-19MET452	88	327
19LIB028-19MET453	112	154
19LIB028-19MET457	113	923
19LIB028-19MET458	141	192
19LIB028-19MET462	0	0
19LIB028-19MET465	2251	868
19LIB028-19MET466	299	263
19LIB028-19MET468	164	1002
19LIB028-19MET476	536	931
19LIB028-19MET479	671	883
19LIB028-19MET480	378	393
19LIB028-19MET484	123	156
19LIB028-19MET485	614	0
19LIB028-19MET489	329	1024
19LIB028-19MET492	428	760
19LIB028-19MET493	598	815
19LIB028-19MET495	26	199
19LIB028-19MET497	916	2309
19LIB028-19MET506	729	410
19LIB028-19MET509	68	632
19LIB028-19MET513	166	38
19LIB028-19MET514	929	1536
19LIB028-19MET519	1751	1934
19LIB028-19MET521	629	2776
19LIB028-19MET522	921	2128
19LIB028-19MET524	1565	1668
19LIB028-19MET552	1244	1274
19LIB028-19MET555	1470	1298
19LIB028-19MET556	1157	1360
19LIB028-19MET560	1058	1565
19LIB028-19MET562	1332	1627
19LIB028-19MET564	1249	1476
19LIB028-19MET565	1132	1593
19LIB028-19MET567	731	1459
19LIB028-19MET448	275	438
19LIB028-19MET450	1504	253
19LIB028-19MET451	172	181
19LIB028-19MET459	114	191
19LIB028-19MET464	494	237
19LIB028-19MET467	162	166
19LIB028-19MET469	1162	86
19LIB028-19MET470	80	434
19LIB028-19MET471	285	643
19LIB028-19MET475	0	11
19LIB028-19MET477	276	869
19LIB028-19MET478	236	338
19LIB028-19MET486	82	448
19LIB028-19MET491	0	1642
19LIB028-19MET494	114	426
19LIB028-19MET496	100	478
19LIB028-19MET498	194	439
19LIB028-19MET499	7	209
19LIB028-19MET503	10	76
19LIB028-19MET504	88	1070
19LIB028-19MET505	73	750
19LIB028-19MET508	0	459
19LIB028-19MET516	305	314
19LIB028-19MET523	247	1435
19LIB028-19MET525	243	2325
19LIB028-19MET526	0	0
19LIB028-19MET527	20	205
19LIB028-19MET551	930	774
19LIB028-19MET553	903	1033
19LIB028-19MET554	1040	780
19LIB028-19MET559	1286	700
19LIB028-19MET563	1430	169
19LIB028-19MET566	907	582
19LIB028-19MET568	734	872
19LIB028-19MET569	1633	904
19LIB028-19MET447	223	141
19LIB028-19MET454	239	1094
19LIB028-19MET455	0	0
19LIB028-19MET456	0	3032
19LIB028-19MET460	17	9
19LIB028-19MET461	529	117
19LIB028-19MET463	21	417
19LIB028-19MET472	126	173
19LIB028-19MET473	145	164
19LIB028-19MET474	0	504
19LIB028-19MET481	407	344
19LIB028-19MET482	0	0
19LIB028-19MET483	551	0
19LIB028-19MET487	232	307
19LIB028-19MET488	266	624
19LIB028-19MET490	453	95
19LIB028-19MET500	467	85
19LIB028-19MET501	163	118
19LIB028-19MET502	28	33
19LIB028-19MET510	133	913
19LIB028-19MET511	97	2737
19LIB028-19MET512	612	841
19LIB028-19MET517	264	240
19LIB028-19MET518	359	267
19LIB028-19MET520	0	0
19LIB028-19MET528	1360	528
19LIB028-19MET529	405	731
19LIB028-19MET550	2234	1696
19LIB028-19MET557	1252	1233
19LIB028-19MET558	1284	1662
19LIB028-19MET561	1527	1361
