id	Planctomycetota	Bacteroidota
19LIB028-19MET551	17	10357
19LIB028-19MET553	0	13593
19LIB028-19MET554	13	9604
19LIB028-19MET559	8	10914
19LIB028-19MET563	12	10705
19LIB028-19MET566	14	9736
19LIB028-19MET568	5	10562
19LIB028-19MET569	12	10763
19LIB028-19MET552	22	14660
19LIB028-19MET555	20	14463
19LIB028-19MET556	5	9541
19LIB028-19MET560	4	10930
19LIB028-19MET562	13	10821
19LIB028-19MET564	13	10216
19LIB028-19MET565	11	11148
19LIB028-19MET567	5	8314
19LIB028-19MET550	39	17599
19LIB028-19MET557	34	17820
19LIB028-19MET558	71	12253
19LIB028-19MET561	67	13401
