id	Euryarchaeota	Planctomycetota	Patescibacteria	Cyanobacteria	Fibrobacterota	Desulfobacterota	Proteobacteria	Firmicutes	Bacteroidota	Spirochaetota
19LIB028-19MET551	0	17	136	26	774	30	337	7695	10357	344
19LIB028-19MET553	0	0	324	27	1033	12	594	6609	13593	572
19LIB028-19MET554	84	13	162	14	780	30	150	6681	9604	383
19LIB028-19MET559	40	8	55	14	700	33	21	5798	10914	275
19LIB028-19MET563	97	12	33	19	169	27	117	5959	10705	275
19LIB028-19MET566	66	14	77	0	582	9	202	6260	9736	337
19LIB028-19MET568	73	5	132	24	872	52	75	7939	10562	281
19LIB028-19MET569	0	12	66	0	904	50	121	8645	10763	236
19LIB028-19MET552	0	22	174	0	1274	51	100	7897	14660	327
19LIB028-19MET555	0	20	85	0	1298	33	183	6469	14463	238
19LIB028-19MET556	0	5	167	0	1360	27	1203	6355	9541	147
19LIB028-19MET560	0	4	60	0	1565	30	85	7173	10930	387
19LIB028-19MET562	0	13	60	0	1627	20	142	6403	10821	296
19LIB028-19MET564	0	13	83	0	1476	23	174	6569	10216	346
19LIB028-19MET565	0	11	57	0	1593	15	103	6138	11148	263
19LIB028-19MET567	0	5	130	0	1459	33	118	5294	8314	273
19LIB028-19MET550	0	39	139	71	1696	13	171	8355	17599	612
19LIB028-19MET557	0	34	156	102	1233	66	144	10187	17820	507
19LIB028-19MET558	0	71	157	120	1662	44	157	9016	12253	299
19LIB028-19MET561	0	67	101	176	1361	31	227	8898	13401	516
