id	Patescibacteria	Fibrobacterota	Proteobacteria
19LIB028-19MET551	136	774	337
19LIB028-19MET553	324	1033	594
19LIB028-19MET554	162	780	150
19LIB028-19MET559	55	700	21
19LIB028-19MET563	33	169	117
19LIB028-19MET566	77	582	202
19LIB028-19MET568	132	872	75
19LIB028-19MET569	66	904	121
19LIB028-19MET552	174	1274	100
19LIB028-19MET555	85	1298	183
19LIB028-19MET556	167	1360	1203
19LIB028-19MET560	60	1565	85
19LIB028-19MET562	60	1627	142
19LIB028-19MET564	83	1476	174
19LIB028-19MET565	57	1593	103
19LIB028-19MET567	130	1459	118
19LIB028-19MET550	139	1696	171
19LIB028-19MET557	156	1233	144
19LIB028-19MET558	157	1662	157
19LIB028-19MET561	101	1361	227
