id	Euryarchaeota	Firmicutes	Spirochaetota
19LIB028-19MET551	0	7695	344
19LIB028-19MET553	0	6609	572
19LIB028-19MET554	84	6681	383
19LIB028-19MET559	40	5798	275
19LIB028-19MET563	97	5959	275
19LIB028-19MET566	66	6260	337
19LIB028-19MET568	73	7939	281
19LIB028-19MET569	0	8645	236
19LIB028-19MET552	0	7897	327
19LIB028-19MET555	0	6469	238
19LIB028-19MET556	0	6355	147
19LIB028-19MET560	0	7173	387
19LIB028-19MET562	0	6403	296
19LIB028-19MET564	0	6569	346
19LIB028-19MET565	0	6138	263
19LIB028-19MET567	0	5294	273
19LIB028-19MET550	0	8355	612
19LIB028-19MET557	0	10187	507
19LIB028-19MET558	0	9016	299
19LIB028-19MET561	0	8898	516
