id	Elusimicrobiota	Firmicutes
19LIB028-19MET448	0	3753
19LIB028-19MET450	0	8137
19LIB028-19MET451	0	9084
19LIB028-19MET459	0	4291
19LIB028-19MET464	0	5861
19LIB028-19MET467	57	7526
19LIB028-19MET469	10	6812
19LIB028-19MET470	52	6867
19LIB028-19MET471	0	7710
19LIB028-19MET452	0	6653
19LIB028-19MET453	0	5262
19LIB028-19MET457	0	4855
19LIB028-19MET458	0	4265
19LIB028-19MET462	0	3384
19LIB028-19MET465	0	9405
19LIB028-19MET466	0	9576
19LIB028-19MET468	0	7659
19LIB028-19MET447	7	7957
19LIB028-19MET454	24	7156
19LIB028-19MET455	0	12952
19LIB028-19MET456	44	7647
19LIB028-19MET460	10	9627
19LIB028-19MET461	0	5454
19LIB028-19MET463	0	8629
19LIB028-19MET472	0	12452
19LIB028-19MET473	31	8437
