id	Euryarchaeota	Elusimicrobiota	Firmicutes
19LIB028-19MET448	0	0	3753
19LIB028-19MET450	101	0	8137
19LIB028-19MET451	79	0	9084
19LIB028-19MET459	0	0	4291
19LIB028-19MET464	0	0	5861
19LIB028-19MET467	0	57	7526
19LIB028-19MET469	0	10	6812
19LIB028-19MET470	0	52	6867
19LIB028-19MET471	63	0	7710
19LIB028-19MET452	94	0	6653
19LIB028-19MET453	0	0	5262
19LIB028-19MET457	0	0	4855
19LIB028-19MET458	0	0	4265
19LIB028-19MET462	0	0	3384
19LIB028-19MET465	86	0	9405
19LIB028-19MET466	65	0	9576
19LIB028-19MET468	54	0	7659
19LIB028-19MET447	0	7	7957
19LIB028-19MET454	0	24	7156
19LIB028-19MET455	0	0	12952
19LIB028-19MET456	0	44	7647
19LIB028-19MET460	0	10	9627
19LIB028-19MET461	0	0	5454
19LIB028-19MET463	0	0	8629
19LIB028-19MET472	0	0	12452
19LIB028-19MET473	0	31	8437
