id	Euryarchaeota
19LIB028-19MET448	0
19LIB028-19MET450	101
19LIB028-19MET451	79
19LIB028-19MET459	0
19LIB028-19MET464	0
19LIB028-19MET467	0
19LIB028-19MET469	0
19LIB028-19MET470	0
19LIB028-19MET471	63
19LIB028-19MET452	94
19LIB028-19MET453	0
19LIB028-19MET457	0
19LIB028-19MET458	0
19LIB028-19MET462	0
19LIB028-19MET465	86
19LIB028-19MET466	65
19LIB028-19MET468	54
19LIB028-19MET447	0
19LIB028-19MET454	0
19LIB028-19MET455	0
19LIB028-19MET456	0
19LIB028-19MET460	0
19LIB028-19MET461	0
19LIB028-19MET463	0
19LIB028-19MET472	0
19LIB028-19MET473	0
