id	Name	Animal	Lot	Time_cat	Time_num	Lot_x_Time	Localisation	MockAndDuplicates	"EDE
vache"	Race	Sexe	Date_naissance	Date_mini_passage_parc_mère	"Date réelle
passage parc mère"	"Date de séparation => ♂ 
S3 => ♀"	"Date de vente
possible"	"Date de vente
réelle"	Date sevrage prévue (♀)	Date sevrage réelle(♀)	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	Total_VFA	Acetate%	Propionate%	Isobutyrate%	Butyrate%	Isovalerate%	Valerate%	Caproate%
19LIB028-19MET447	9721T-3sem	9721	temoin	3	3	temoin_3	rumen	no	5651	Ho	M-Fem	05-mai-19	11-mai-19	16-mai-19	28-mai-19	-	-	09-juil-19	09-juil-19	21.777	2.378	0.2415	1.143	0.3785	0.156	0.0715	26.1455	0.832915798129697	0.0909525539767838	0.00923677114608632	0.00923677114608632	0.0144766785871374	0.00596660993287564	0.00273469621923467
19LIB028-19MET448	9722M-3sem	9722	mere	3	3	mere_3	rumen	no	6614	Ho	F	12-févr-19	18-févr-19	18-févr-19	19-mars-19	-	-	30-avr-19	30-avr-19	20.4975	3.1125	0.199	0.746	0.2845	0.0685	0.039	24.947	0.821641880787269	0.124764500741572	0.00797691105142903	0.00797691105142903	0.0114041768549325	0.00274582114081853	0.00156331422615946
19LIB028-19MET449	9725P-3sem	9725	panache	3	3	panache_3	rumen	no	5690	Ho	F	22-févr-19	28-févr-19	01-mars-19	19-mars-19	-	-	30-avr-19	14-mai-19	36.9335	5.526	0.5085	2.467	0.844	0.2455	0.0445	46.569	0.793091971053705	0.118662629646331	0.0109192810668041	0.0109192810668041	0.0181236444845283	0.00527174729970581	0.000955571302797999
19LIB028-19MET450	9727M-3sem	9727	mere	3	3	mere_3	rumen	no	4168	Ho	F	27-févr-19	04-mars-19	04-mars-19	02-avr-19	-	-	14-mai-19	14-mai-19	14.193	1.428	0.129	0.425	0.179	0.0385	0.0125	16.405	0.86516306004267	0.0870466321243524	0.00786345626333435	0.00786345626333435	0.0109113075281926	0.00234684547394087	0.000761962816214569
19LIB028-19MET451	9728M-3sem	9728	mere	3	3	mere_3	rumen	no	6742	Ho	F	27-févr-19	05-mars-19	05-mars-19	02-avr-19	-	-	14-mai-19	14-mai-19	34.5195	5.8905	0.3295	1.575	0.545	0.1765	0.0095	43.0455	0.801930515384883	0.136843572498867	0.00765469096653541	0.00765469096653541	0.012661021477274	0.00410031246007132	0.000220696704649731
19LIB028-19MET452	9732P-3sem	9732	panache	3	3	panache_3	rumen	no	6718	Ho	F	04-mars-19	10-mars-19	10-mars-19	02-avr-19	-	-	28-mai-19	11-juin-19	26.4865	4.9415	0.272	0.834	0.57	0.1255	0.0235	33.253	0.796514600186449	0.14860313355186	0.00817971310859171	0.00817971310859171	0.0171413105584459	0.00377409557032448	0.000706703154602592
19LIB028-19MET453	9740P-3sem	9740	panache	3	3	panache_3	rumen	no	7639	Mo	F	15-mars-19	20-mars-19	20-mars-19	16-avr-19	-	-	28-mai-19	28-mai-19	19.0605	2.618	0.218	0.3195	0.357	0.035	0.0095	22.6175	0.842732397479827	0.115751077705317	0.00963855421686747	0.00963855421686747	0.0157842378689068	0.00154747430087322	0.000420028738808445
19LIB028-19MET454	9741T-3sem	9741	temoin	3	3	temoin_3	rumen	no	6728	Mo	M - Fem	18-mars-19	26-mars-19	27-mars-19	16-avr-19	-	-	28-mai-19	28-mai-19	43.7805	7.3915	0.3565	1.4505	0.4355	0.272	0.0565	53.743	0.814627021193458	0.137534190499228	0.00663342202705469	0.00663342202705469	0.00810338090542024	0.00506112423943583	0.00105129970414752
19LIB028-19MET455	9743T-3sem	9743	temoin	3	3	temoin_3	rumen	no	7641	Mo	F	19-mars-19	27-mars-19	27-mars-19	16-avr-19	-	-	28-mai-19	SORTIE	46.627	21.4425	1.8305	39.272	2.355	13.6415	1.072	126.2405	0.369350564993009	0.169854365278971	0.0145001009976988	0.0145001009976988	0.0186548690792574	0.108059616367172	0.00849172809043057
19LIB028-19MET456	9745T-3sem	9745	temoin	3	3	temoin_3	rumen	no	3647	Mo	M - Fem	24-mars-19	31-mars-19	02-avr-19	16-avr-19	-	-	28-mai-19	28-mai-19	31.5015	12.365	0.8015	3.7195	1.002	0.6985	0.05	50.138	0.628295903306873	0.246619330647413	0.0159858789740317	0.0159858789740317	0.0199848418365312	0.0139315489249671	0.000997247596633292
