EDE	Lot_x_Time	Lot	Time	Vache	velage	DIM	semlact	Date	RACE	SEVRAGE	S3	SEXE VEAU	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	VFA_totaux	VFAt_Acetate	VFAt_propionate	VFAt_isobutyrate	VFAt_butyrate	VFAt_isovalerate	VFAt_valerate	VFAt_caproate	igG_Matin 	igG_soir	Lacto_Matin	Lacto_soir	id
9722	mere_3	M	3	6614	12/02/2019	23	3.285714	07/03/2019	Ho	30/04/2019	19/03/2019	F	20.4975	3.1125	0.1990	0.7460	0.2845	0.0685	0.0390	24.9470	0.8216419	0.12476450	0.0079769111	0.0079769111	0.011404177	0.08336965	0.312588916	655	560	19.182	61.451	19LIB028-19MET448
9727	mere_3	M	3	4168	26/02/2019	24	3.428571	22/03/2019	Ho	14/05/2019	02/04/2019	F	14.1930	1.4280	0.1290	0.4250	0.1790	0.0385	0.0125	16.4050	0.8651631	0.08704663	0.0078634563	0.0078634563	0.010911308	0.04450028	0.143601190	385	550	97.535	47.518	19LIB028-19MET450
9728	mere_3	M	3	6742	27/02/2019	23	3.285714	22/03/2019	Ho	14/05/2019	02/04/2019	F	34.5195	5.8905	0.3295	1.5750	0.5450	0.1765	0.0095	43.0455	0.8019305	0.13684357	0.0076546910	0.0076546910	0.012661021	0.22009388	0.069422333	200	NA	231.118	242.109	19LIB028-19MET451
9747	mere_3	M	3	7628	31/03/2019	18	2.571429	18/04/2019	Mo	11/06/2019	30/04/2019	F	32.5065	5.3155	0.3625	1.2515	0.5325	0.1700	0.0020	40.1405	0.8098180	0.13242237	0.0090307794	0.0090307794	0.013265904	0.20992371	0.015103189	580	NA	63.564	48.505	19LIB028-19MET459
9755	mere_3	M	3	5611	09/04/2019	23	3.285714	02/05/2019	Ho	25/06/2019	14/05/2019	F	24.8255	3.6940	0.2590	0.6425	0.2630	0.1050	0.0040	29.7930	0.8332662	0.12398886	0.0086933172	0.0086933172	0.008827577	0.12601015	0.032260964	570	200	9.286	67.583	19LIB028-19MET464
9759	mere_3	M	3	3161	14/04/2019	18	2.571429	02/05/2019	Ho	25/06/2019	14/05/2019	F	42.4150	5.8985	0.3990	1.4300	0.5305	0.1250	0.0050	50.8030	0.8348916	0.11610535	0.0078538669	0.0078538669	0.010442297	0.14972003	0.043064338	685	580	124.308	108.946	19LIB028-19MET467
9764	mere_3	M	3	2604	18/04/2019	14	2.000000	02/05/2019	Mo	25/06/2019	14/05/2019	F	38.3685	5.5045	0.3240	1.2740	0.4285	0.1540	0.0170	46.0705	0.8328214	0.11947993	0.0070326999	0.0070326999	0.009300963	0.18491359	0.142283314	515	545	73.101	81.701	19LIB028-19MET469
9769	mere_3	M	3	5635	21/04/2019	25	3.571429	16/05/2019	Ho	09/07/2019	28/05/2019	MF	23.5180	4.0285	0.1945	0.9950	0.3790	0.1120	0.0085	29.2355	0.8044330	0.13779480	0.0066528707	0.0066528707	0.012963691	0.13922851	0.061685925	500	515	41.193	53.926	19LIB028-19MET470
9770	mere_3	M	3	2646	22/04/2019	24	3.428571	16/05/2019	Mo	09/07/2019	28/05/2019	F	30.7030	4.3155	0.2610	1.0455	0.4230	0.1000	0.0035	36.8515	0.8331547	0.11710514	0.0070824797	0.0070824797	0.011478502	0.12002573	0.029887672	560	545	262.200	175.817	19LIB028-19MET471
9722	mere_10	M	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2265	5.2235	0.4210	1.0860	0.4550	0.3005	0.0125	19.7250	0.6198479	0.26481622	0.0213434728	0.0213434728	0.023067174	0.48479634	0.047202546	NA	NA	NA	NA	19LIB028-19MET475
9727	mere_10	M	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.7805	7.1565	0.5170	2.2925	1.0095	0.1990	0.0090	45.9640	0.7566900	0.15569794	0.0112479332	0.0112479332	0.021962840	0.26298748	0.057804234	NA	NA	NA	NA	19LIB028-19MET477
9728	mere_10	M	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.2990	5.6680	0.2790	1.7755	0.4210	0.1380	0.0310	41.6115	0.8002355	0.13621235	0.0067048773	0.0067048773	0.010117395	0.17244923	0.227585833	NA	NA	NA	NA	19LIB028-19MET478
9747	mere_10	M	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.7455	10.0030	0.3865	2.6300	0.4605	0.2370	0.0000	52.4625	0.7385371	0.19066953	0.0073671670	0.0073671670	0.008777698	0.32090469	0.000000000	NA	NA	NA	NA	19LIB028-19MET486
9755	mere_10	M	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.3850	1.1660	0.0050	0.2205	0.0175	0.0310	0.0000	5.8250	0.7527897	0.20017167	0.0008583691	0.0008583691	0.003004292	0.04118016	0.000000000	NA	NA	NA	NA	19LIB028-19MET491
9759	mere_10	M	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.5680	10.0905	0.4230	3.0165	0.4555	0.2610	0.0010	54.8155	0.7400826	0.18408114	0.0077167954	0.0077167954	0.008309693	0.35266332	0.005432387	NA	NA	NA	NA	19LIB028-19MET494
9764	mere_10	M	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.7165	5.5280	0.2315	1.5635	0.2875	0.1680	0.0060	29.5010	0.7361276	0.18738348	0.0078471916	0.0078471916	0.009745432	0.22822131	0.032019899	NA	NA	NA	NA	19LIB028-19MET496
9769	mere_10	M	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.5595	16.7015	0.4975	9.9255	0.5820	0.5105	0.0975	101.8740	0.7220635	0.16394271	0.0048834835	0.0048834835	0.005712940	0.70700150	0.594719935	NA	NA	NA	NA	19LIB028-19MET498
9770	mere_10	M	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.7320	8.0795	0.0810	2.3675	0.0365	0.2425	0.0000	34.5390	0.6871073	0.23392397	0.0023451750	0.0023451750	0.001056776	0.35292885	0.000000000	NA	NA	NA	NA	19LIB028-19MET499
9722	mere_13	M	13	6614	12/02/2019	93	13.285714	16/05/2019	Ho	30/04/2019	19/03/2019	F	58.3770	14.0500	0.6750	7.7120	1.2225	1.0125	0.6775	83.7265	0.6972344	0.16780828	0.0080619637	0.0080619637	0.014601112	1.45216577	4.037345463	755	685	71.440	NA	19LIB028-19MET503
9727	mere_13	M	13	4168	26/02/2019	93	13.285714	30/05/2019	Ho	14/05/2019	02/04/2019	F	63.0770	16.0770	0.4495	8.4090	0.8155	0.8425	0.1275	89.7980	0.7024321	0.17903517	0.0050056794	0.0050056794	0.009081494	1.19940414	0.712150588	335	325	51.055	55.056	19LIB028-19MET504
9728	mere_13	M	13	6742	27/02/2019	92	13.142857	30/05/2019	Ho	14/05/2019	02/04/2019	F	73.4835	25.5530	0.3935	10.9950	1.0075	1.0625	0.2660	112.7610	0.6516748	0.22661204	0.0034896817	0.0034896817	0.008934827	1.63041448	1.173812312	310	330	81.818	65.484	19LIB028-19MET505
