id	Methanosphaera	Methanobrevibacter	Candidatus_Methanomethylophilus	uncultured	Pla4_lineage	Pirellula	CPla-4_termite_group	p-1088-a5_gut_group	Endomicrobium	Elusimicrobium	Absconditabacteriales_(SR1)	DEV114	LD1-PB3	WCHB1-41	Gastranaerophilales	Flexilinea	Pyramidobacter	Synergistes	Fibrobacter	Phoenicibacter	uncultured	Raoultibacter	Atopobium	uncultured	MVP-15	uncultured	Deinococcus	Corynebacterium	Microbacteriaceae Family	Brachybacterium	Arthrobacter	uncultured	uncultured	Bifidobacterium	Mailhella	Desulfovibrio	Bilophila	Desulfuromonadaceae	uncultured	d__Bacteria Kingdom	uncultured	Mitochondria	Sphingomonas	Desulfobulbus	Campylobacter	Suttonella	Pseudomonas	Pantoea	Lautropia	Parasutterella	Sutterella	Rhodocyclaceae Family	Janthinobacterium	uncultured	Kingella	Neisseria	Alysiella	Pasteurellaceae Family	Gallibacterium	Actinobacillus	Bibersteinia	Ruminobacter	Succinivibrio	uncultured	Succinatimonas	Anaerobiospirillum	Succinimonas	Succinivibrionaceae_UCG-001	Succinivibrionaceae_UCG-002	Moraxella	Psychrobacter	Alkanindiges	Acinetobacter	Stenotrophomonas	Megasphaera	Veillonellaceae_UCG-001	Schwartzia	Megamonas	uncultured	Anaerovibrio	Selenomonas	Phascolarctobacterium	WPS-2	Succiniclasticum	Streptococcus	Enterococcus	Jeotgalicoccus	Staphylococcus	Anaerofustis	Eubacterium	Clostridia Class	Christensenellaceae_R-7_group	0319-6G20	RF39	Izemoplasmataceae	Izemoplasmatales	NED5E9	Acholeplasmataceae Family	Anaeroplasma	Sharpea	Erysipelotrichaceae_UCG-002	UCG-004	Solobacterium	Erysipelotrichaceae_UCG-009	[Anaerorhabdus]_furcosa_group	uncultured	Erysipelothrix	Faecalicoccus	Catenisphaera	uncultured	JGI_0000069-P22	Fusobacterium	Caviibacter	vadinBE97	Victivallaceae	Chryseobacterium	Bergeyella	Rikenellaceae_RC9_gut_group	U29-B03	SP3-e08	Rikenellaceae Family	uncultured	F082	uncultured	uncultured	hoa5-07d05_gut_group	Bacteroidales Order	Bacteroidales_RF16_group	p-251-o5	Butyricimonas	Odoribacter	Porphyromonas	Alloprevotella	Prevotellaceae_Ga6A1_group	Prevotellaceae_UCG-004	Prevotellaceae_NK3B31_group	uncultured	Prevotellaceae Family	Prevotellaceae_YAB2003_group	Prevotella_7	Prevotellaceae_UCG-001	Prevotella	Paraprevotella	Bacteroidales_UCG-001	uncultured	Prevotellaceae	Prevotellaceae_UCG-003	Bacteroides	Parabacteroides	Barnesiella	Muribaculaceae	Bacteroidia Class	Bacteroidetes_BD2-2	Alistipes	Bacteroidales_BS11_gut_group	M2PB4-65_termite_group	CAP-aah99b04	Flavobacterium	M2PT2-76_termite_group	Treponema	Sediminispirochaeta	Mycoplasma	Paeniclostridium	Romboutsia	Amnipila	Anaerovorax	Family_XIII_UCG-001	Mogibacterium	[Eubacterium]_nodatum_group	Anaerovoracaceae Family	Family_XIII_AD3011_group	uncultured	uncultured	Clostridium_sensu_stricto_1	Clostridia_vadinBB60_group	Clostridia_UCG-014	Firmicutes Phylum	UCG-010	Monoglobus	Hungateiclostridiaceae Family	Ruminiclostridium	Saccharofermentans	Oscillospirales Order	UCG-005	UCG-007	Papillibacter	Oscillospira	Oscillibacter	UCG-002	UCG-012	Colidextribacter	V9D2013_group	uncultured	Oscillospiraceae Family	NK4A214_group	Ruminococcaceae	[Clostridium]_methylpentosum_group	Candidatus_Soleaferrea	Subdoligranulum	Ruminococcus	[Eubacterium]_coprostanoligenes_group	Incertae_Sedis	Ruminococcaceae Family	uncultured	CAG-352	Tyzzerella	Defluviitaleaceae_UCG-011	Lachnospiraceae_UCG-010	uncultured	Lachnospiraceae_UCG-001	Anaerosporobacter	Lachnospiraceae_UCG-006	Lachnospiraceae	[Eubacterium]_xylanophilum_group	Coprococcus	Lachnospiraceae_NC2004_group	[Eubacterium]_ruminantium_group	Lachnospira	[Eubacterium]_eligens_group	Lachnospiraceae_UCG-008	[Bacteroides]_pectinophilus_group	[Eubacterium]_hallii_group	Blautia	Lachnospiraceae_FE2018_group	Acetitomaculum	Lachnospiraceae_UCG-002	[Eubacterium]_cellulosolvens_group	Lachnospiraceae_ND3007_group	[Ruminococcus]_gauvreauii_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_XPB1014_group	Lachnospiraceae_AC2044_group	Roseburia	Moryella	Lachnospiraceae_NK3A20_group	FD2005	XBB1006	[Eubacterium]_oxidoreducens_group	Shuttleworthia	[Eubacterium]_ventriosum_group	Howardella	Lachnospiraceae Family	Pseudobutyrivibrio	Lachnospiraceae_FCS020_group	probable_genus_10	Lachnoclostridium	Butyrivibrio	Syntrophococcus	Oribacterium	Marvinbryantia	Lachnospiraceae_UCG-009
19LIB028-19MET448	0	0	0	116	0	0	0	20	0	0	0	0	0	275	0	0	41	0	438	0	0	7	0	0	0	0	0	0	0	0	0	3	0	4	0	279	19	0	0	0	13	0	9	0	0	0	0	0	0	0	8	155	0	1998	0	44	84	51	14	0	134	29	392	0	0	0	0	0	345	68	56	15	17	0	0	0	0	0	0	0	0	0	0	306	24	0	0	0	0	0	0	110	0	133	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	463	8	0	0	0	0	5243	73	0	0	0	829	11	0	0	31	121	0	1094	9	92	285	0	326	184	96	162	0	0	86	680	0	10	11	0	751	787	847	0	0	0	37	0	0	0	0	0	0	401	0	0	0	0	0	8	0	236	0	0	34	0	9	41	32	74	0	41	0	0	0	0	0	276	0	17	0	0	219	0	0	0	0	0	965	22	0	0	0	193	84	0	175	0	0	0	0	0	10	0	0	0	0	0	0	0	17	0	0	42	0	15	0	0	191	12	0	0	25	0	5	24	0	113	48	0	0	0	0	0	9	33	21	9	0	132	23	0	19	0	0
19LIB028-19MET450	0	101	0	138	0	20	17	156	0	0	874	71	0	1367	34	0	12	30	253	0	0	6	0	0	59	4	0	0	0	0	0	10	0	0	21	256	0	0	0	0	18	0	0	0	127	0	0	0	0	0	0	60	0	34	0	0	59	85	0	32	143	93	40	0	0	0	0	0	234	22	8	0	47	9	0	0	0	0	0	0	80	0	0	296	72	0	8	0	0	0	482	850	94	130	0	0	43	0	21	0	0	127	67	48	27	70	0	0	0	0	31	65	69	66	0	0	12	2709	6	56	14	0	2295	0	0	0	46	375	24	91	0	0	926	53	272	0	19	97	136	0	112	5234	0	22	181	49	974	0	0	0	182	0	0	0	0	0	29	0	0	538	49	0	0	0	0	150	12	46	0	25	311	47	65	0	27	808	0	88	0	0	0	607	0	0	0	165	0	0	289	0	0	0	0	0	514	18	0	0	0	34	331	0	34	5	0	0	143	12	158	0	0	0	0	41	8	0	7	0	0	116	0	0	0	0	107	0	71	22	116	151	62	80	28	28	252	17	0	91	5	0	7	22	307	104	31	102	97	0	26	0	29
19LIB028-19MET451	0	79	17	53	0	10	0	50	0	0	0	0	0	172	96	0	11	0	181	0	0	0	0	0	0	8	0	0	0	0	0	13	0	0	0	705	22	0	0	0	930	0	0	0	16	0	0	0	0	0	28	101	0	39	0	17	53	26	11	9	177	1865	263	525	0	0	0	0	837	7	0	7	0	0	0	0	0	0	0	0	281	0	0	567	26	0	0	0	0	0	403	1202	0	197	0	0	0	0	157	0	0	20	90	9	0	26	0	0	0	0	0	49	5	0	0	0	15	3021	24	0	8	0	2146	0	0	0	69	1231	0	0	0	5	91	68	587	166	23	1114	155	0	615	4944	0	0	253	0	436	181	6	0	22	0	0	0	0	0	0	0	0	1535	28	0	0	0	0	50	26	123	19	0	32	14	0	0	5	235	0	108	0	0	0	1344	0	193	0	133	0	0	507	0	0	0	0	0	1099	0	0	0	0	178	112	0	0	13	0	0	12	0	196	0	0	0	0	0	13	0	52	0	0	88	0	0	21	0	89	11	47	11	110	41	103	37	11	21	349	25	0	0	117	0	0	29	195	141	87	0	81	0	28	0	0
19LIB028-19MET459	0	0	0	0	0	0	14	7	0	0	14	12	0	94	5	0	34	0	191	0	0	0	0	0	6	10	0	8	0	0	0	0	0	0	35	478	0	0	0	0	64	0	0	0	13	0	0	0	0	0	0	380	0	0	0	0	12	18	0	0	0	0	19	0	0	0	0	0	33	8	0	0	0	0	0	0	0	0	0	0	51	0	0	309	23	0	8	0	0	0	79	249	45	28	0	0	0	0	9	0	0	0	0	0	0	63	0	0	0	0	0	14	0	8	0	0	0	3443	0	23	0	0	2428	13	0	0	26	0	15	37	16	0	66	0	801	364	0	114	0	0	262	5354	0	0	23	0	169	33	0	0	72	0	0	0	0	0	86	0	0	322	31	0	8	0	0	98	0	40	8	0	39	0	42	0	0	78	0	32	0	0	0	358	0	206	0	117	0	0	104	0	0	0	0	0	716	0	0	0	0	184	297	0	19	4	0	0	55	6	22	0	0	0	0	14	30	0	34	0	0	41	0	18	18	0	0	0	0	6	16	12	65	36	0	114	74	0	0	0	5	18	0	13	297	20	14	13	175	0	6	0	0
19LIB028-19MET464	0	0	10	0	0	0	0	0	0	0	0	14	0	468	0	0	9	13	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	806	49	0	0	0	29	0	5	0	482	0	0	0	0	0	0	503	0	235	0	0	51	28	659	44	238	914	1317	162	0	0	0	0	1407	16	41	9	21	0	0	0	0	0	0	0	25	0	0	298	55	0	17	0	0	0	113	674	0	214	0	0	0	0	29	0	0	85	22	0	0	5	0	0	0	0	0	623	95	12	0	0	13	3899	176	5	0	356	2226	0	0	0	554	0	0	257	0	53	4142	110	445	0	62	56	0	0	381	3114	0	0	30	53	1100	222	0	0	0	0	0	0	26	0	0	0	0	649	0	0	0	8	0	68	0	0	3	0	218	0	23	144	0	729	0	3	0	0	0	270	0	75	0	56	0	0	715	0	0	0	0	0	499	20	0	0	0	0	24	0	0	13	0	0	27	10	27	0	0	0	0	0	16	0	5	0	0	26	0	0	111	0	0	0	0	33	28	58	22	59	0	6	135	0	12	93	0	0	12	58	288	59	23	110	219	0	0	0	19
19LIB028-19MET467	0	0	0	59	0	0	0	17	57	0	566	8	0	134	0	0	17	6	166	0	0	0	0	0	183	0	0	7	0	0	0	0	0	6	73	40	0	0	0	0	6	0	0	0	16	4	0	0	0	0	9	266	0	116	0	0	0	0	13	0	51	158	19	521	0	0	0	0	438	7	84	0	19	0	0	0	0	0	0	0	74	0	0	337	20	0	45	15	0	0	168	799	17	21	0	0	23	8	47	0	0	16	11	0	0	13	0	0	0	0	36	12	0	20	0	0	0	2660	5	56	0	11	424	14	0	0	109	1681	0	48	0	0	14	5	10	0	7	15	0	0	353	5303	0	0	259	5	563	19	0	0	140	0	0	0	60	0	0	0	0	134	16	0	19	0	0	75	0	167	37	19	83	17	28	0	190	376	0	74	0	0	0	580	0	0	0	112	0	0	139	0	0	0	0	0	546	103	0	0	0	573	296	0	57	0	0	0	139	5	99	0	0	0	0	19	18	0	77	23	0	127	0	0	0	0	102	9	0	72	58	56	149	207	22	4	225	13	0	71	0	18	0	0	246	40	228	89	278	0	28	0	16
19LIB028-19MET469	0	0	0	128	0	11	15	22	10	0	6	0	0	1144	69	0	0	0	86	0	0	12	0	0	0	0	0	0	0	0	0	9	0	0	0	282	14	0	0	0	6	0	4	0	189	73	0	0	0	0	0	248	0	0	0	13	10	0	13	0	109	229	928	33	0	0	0	0	2939	21	11	0	0	11	0	0	0	0	0	0	50	0	0	429	0	0	0	6	0	0	153	857	0	285	0	0	0	9	55	480	0	39	0	0	20	56	0	0	0	0	0	22	0	18	0	0	0	3435	54	63	18	4	785	0	0	0	29	188	0	13	14	0	101	0	142	2	38	106	34	0	259	4267	0	0	689	0	375	8	0	0	399	0	35	0	39	0	42	0	0	357	31	0	0	9	0	179	12	130	0	0	190	8	35	0	16	44	0	56	0	0	0	297	0	201	0	114	0	0	257	0	0	0	0	0	854	8	0	0	0	85	150	0	136	47	0	0	149	11	61	0	0	0	0	0	12	0	0	48	0	117	0	23	43	0	22	0	0	7	15	28	27	114	0	204	73	0	19	0	0	27	0	38	250	37	21	32	138	0	29	0	0
19LIB028-19MET470	0	0	14	61	0	0	0	17	52	0	47	9	0	43	0	0	17	0	434	0	0	9	0	0	0	0	0	83	0	0	0	0	0	43	0	236	16	0	0	0	0	0	16	0	95	6	0	0	0	0	7	0	0	94	0	0	14	0	0	0	65	35	30	240	0	0	0	0	0	4	73	0	0	8	0	0	0	0	0	0	337	0	0	521	41	0	73	21	0	0	71	507	0	95	0	0	0	7	73	77	0	96	13	29	15	24	0	0	0	0	0	26	18	28	0	0	4	1380	14	15	0	0	2991	0	0	0	3	1075	0	32	0	5	3771	24	16	9	27	623	104	0	35	6755	0	0	62	0	3660	0	22	0	132	0	0	0	12	0	0	0	0	510	0	0	0	16	0	56	7	44	35	13	84	0	0	0	9	428	0	81	0	0	0	416	0	92	0	82	0	0	24	0	0	0	0	0	412	0	0	0	0	489	163	0	0	0	0	0	46	0	109	0	0	0	0	41	11	0	32	28	0	29	0	0	47	0	159	0	123	0	62	108	149	106	0	11	263	0	10	0	40	17	0	65	374	121	0	45	395	0	25	0	0
19LIB028-19MET471	0	63	0	130	0	5	28	27	0	0	6	66	0	193	65	0	15	0	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	12	0	0	0	15	0	19	0	511	0	0	0	0	0	11	184	0	0	0	0	52	89	0	14	78	158	52	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	509	0	0	0	0	0	0	333	852	7	37	0	0	63	2	481	287	0	210	31	0	0	85	0	0	0	0	6	126	19	26	0	0	0	2765	18	16	0	0	1318	0	0	0	68	774	75	0	0	9	5807	40	9	0	87	52	25	0	277	3392	0	30	66	0	31	42	0	0	196	0	28	0	17	0	0	0	0	961	33	0	6	0	0	116	0	104	53	0	96	0	148	16	64	241	0	84	0	0	0	320	0	214	0	49	0	0	274	0	0	0	0	0	667	45	0	0	0	383	128	0	27	9	0	0	0	21	49	0	0	0	0	15	4	0	15	0	0	48	0	0	24	0	144	18	9	27	126	221	91	22	0	0	215	0	0	143	0	0	0	9	265	72	20	19	69	0	0	0	35
19LIB028-19MET475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	13	5	0	0	0	0	0	0	0	0	35	0	0	0	0	0	15	0	0	0	0	0	16	0	0	0	24	67	1811	0	0	0	0	0	149	0	2	0	0	0	0	0	0	0	0	3729	144	0	0	379	21	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	73	160	0	338	0	0	237	2249	0	0	58	0	0	0	0	0	46	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	81	245	0	0	0	0	0	91	0	0
