id	Methanosphaera	Methanobrevibacter	Candidatus_Methanomethylophilus	uncultured	Pla4_lineage	Pirellula	CPla-4_termite_group	p-1088-a5_gut_group	Endomicrobium	Elusimicrobium	Absconditabacteriales_(SR1)	DEV114	LD1-PB3	WCHB1-41	Gastranaerophilales	Flexilinea	Pyramidobacter	Synergistes	Fibrobacter	Phoenicibacter	uncultured	Raoultibacter	Atopobium	uncultured	MVP-15	uncultured	Deinococcus	Corynebacterium	Microbacteriaceae Family	Brachybacterium	Arthrobacter	uncultured	uncultured	Bifidobacterium	Mailhella	Desulfovibrio	Bilophila	Desulfuromonadaceae	uncultured	d__Bacteria Kingdom	uncultured	Mitochondria	Sphingomonas	Desulfobulbus	Campylobacter	Suttonella	Pseudomonas	Pantoea	Lautropia	Parasutterella	Sutterella	Rhodocyclaceae Family	Janthinobacterium	uncultured	Kingella	Neisseria	Alysiella	Pasteurellaceae Family	Gallibacterium	Actinobacillus	Bibersteinia	Ruminobacter	Succinivibrio	uncultured	Succinatimonas	Anaerobiospirillum	Succinimonas	Succinivibrionaceae_UCG-001	Succinivibrionaceae_UCG-002	Moraxella	Psychrobacter	Alkanindiges	Acinetobacter	Stenotrophomonas	Megasphaera	Veillonellaceae_UCG-001	Schwartzia	Megamonas	uncultured	Anaerovibrio	Selenomonas	Phascolarctobacterium	WPS-2	Succiniclasticum	Streptococcus	Enterococcus	Jeotgalicoccus	Staphylococcus	Anaerofustis	Eubacterium	Clostridia Class	Christensenellaceae_R-7_group	0319-6G20	RF39	Izemoplasmataceae	Izemoplasmatales	NED5E9	Acholeplasmataceae Family	Anaeroplasma	Sharpea	Erysipelotrichaceae_UCG-002	UCG-004	Solobacterium	Erysipelotrichaceae_UCG-009	[Anaerorhabdus]_furcosa_group	uncultured	Erysipelothrix	Faecalicoccus	Catenisphaera	uncultured	JGI_0000069-P22	Fusobacterium	Caviibacter	vadinBE97	Victivallaceae	Chryseobacterium	Bergeyella	Rikenellaceae_RC9_gut_group	U29-B03	SP3-e08	Rikenellaceae Family	uncultured	F082	uncultured	uncultured	hoa5-07d05_gut_group	Bacteroidales Order	Bacteroidales_RF16_group	p-251-o5	Butyricimonas	Odoribacter	Porphyromonas	Alloprevotella	Prevotellaceae_Ga6A1_group	Prevotellaceae_UCG-004	Prevotellaceae_NK3B31_group	uncultured	Prevotellaceae Family	Prevotellaceae_YAB2003_group	Prevotella_7	Prevotellaceae_UCG-001	Prevotella	Paraprevotella	Bacteroidales_UCG-001	uncultured	Prevotellaceae	Prevotellaceae_UCG-003	Bacteroides	Parabacteroides	Barnesiella	Muribaculaceae	Bacteroidia Class	Bacteroidetes_BD2-2	Alistipes	Bacteroidales_BS11_gut_group	M2PB4-65_termite_group	CAP-aah99b04	Flavobacterium	M2PT2-76_termite_group	Treponema	Sediminispirochaeta	Mycoplasma	Paeniclostridium	Romboutsia	Amnipila	Anaerovorax	Family_XIII_UCG-001	Mogibacterium	[Eubacterium]_nodatum_group	Anaerovoracaceae Family	Family_XIII_AD3011_group	uncultured	uncultured	Clostridium_sensu_stricto_1	Clostridia_vadinBB60_group	Clostridia_UCG-014	Firmicutes Phylum	UCG-010	Monoglobus	Hungateiclostridiaceae Family	Ruminiclostridium	Saccharofermentans	Oscillospirales Order	UCG-005	UCG-007	Papillibacter	Oscillospira	Oscillibacter	UCG-002	UCG-012	Colidextribacter	V9D2013_group	uncultured	Oscillospiraceae Family	NK4A214_group	Ruminococcaceae	[Clostridium]_methylpentosum_group	Candidatus_Soleaferrea	Subdoligranulum	Ruminococcus	[Eubacterium]_coprostanoligenes_group	Incertae_Sedis	Ruminococcaceae Family	uncultured	CAG-352	Tyzzerella	Defluviitaleaceae_UCG-011	Lachnospiraceae_UCG-010	uncultured	Lachnospiraceae_UCG-001	Anaerosporobacter	Lachnospiraceae_UCG-006	Lachnospiraceae	[Eubacterium]_xylanophilum_group	Coprococcus	Lachnospiraceae_NC2004_group	[Eubacterium]_ruminantium_group	Lachnospira	[Eubacterium]_eligens_group	Lachnospiraceae_UCG-008	[Bacteroides]_pectinophilus_group	[Eubacterium]_hallii_group	Blautia	Lachnospiraceae_FE2018_group	Acetitomaculum	Lachnospiraceae_UCG-002	[Eubacterium]_cellulosolvens_group	Lachnospiraceae_ND3007_group	[Ruminococcus]_gauvreauii_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_XPB1014_group	Lachnospiraceae_AC2044_group	Roseburia	Moryella	Lachnospiraceae_NK3A20_group	FD2005	XBB1006	[Eubacterium]_oxidoreducens_group	Shuttleworthia	[Eubacterium]_ventriosum_group	Howardella	Lachnospiraceae Family	Pseudobutyrivibrio	Lachnospiraceae_FCS020_group	probable_genus_10	Lachnoclostridium	Butyrivibrio	Syntrophococcus	Oribacterium	Marvinbryantia	Lachnospiraceae_UCG-009
19LIB028-19MET447	0	0	0	21	0	0	0	32	0	7	0	0	0	223	0	0	70	0	141	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	411	33	0	0	0	0	0	3	0	30	0	22	0	0	0	0	26	0	1252	19	0	73	0	0	0	35	115	870	0	0	0	0	0	1204	0	55	0	20	0	0	0	0	0	0	0	12	0	0	154	9	10	0	0	0	0	0	136	0	116	0	0	0	0	0	0	0	0	80	0	0	146	0	0	0	0	0	133	19	0	0	0	0	3687	260	0	0	0	2497	0	0	0	99	532	0	169	13	0	549	0	1530	532	232	55	0	0	0	1734	0	0	471	0	49	540	116	12	19	0	0	21	0	0	0	0	0	71	0	0	0	0	0	0	0	29	0	0	22	0	8	63	186	213	0	57	0	0	0	0	0	436	0	61	0	32	2069	0	0	5	0	0	1164	0	0	0	0	983	152	0	5	0	333	0	0	8	504	0	0	0	0	0	48	0	72	39	16	73	0	0	0	0	66	0	0	0	0	74	0	17	0	0	7	0	0	0	0	0	0	239	15	0	0	173	102	0	23	0	0
19LIB028-19MET454	0	0	9	11	0	0	0	49	0	24	0	0	0	204	231	0	38	0	1094	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	12	1014	9	0	0	0	66	0	20	0	174	0	8	0	0	0	0	100	0	329	0	0	17	0	0	0	0	153	34	0	0	0	0	0	246	0	10	0	0	0	20	0	0	0	0	0	49	0	0	351	102	0	0	13	0	0	32	1918	0	81	0	0	0	0	0	31	0	6	0	0	0	8	0	236	0	0	0	45	8	35	0	0	0	6956	90	0	0	0	1470	0	0	6	51	0	0	44	19	0	547	97	213	0	243	1799	35	0	423	3995	0	91	353	0	2665	371	30	0	418	0	0	0	0	0	0	0	0	676	0	0	0	0	0	57	7	43	13	37	15	0	47	14	144	70	0	61	0	0	0	394	0	0	0	95	0	0	145	0	0	5	0	0	720	0	0	0	0	939	256	0	21	0	0	0	0	0	48	0	0	0	0	0	182	0	127	0	0	4	0	168	0	0	0	0	0	0	22	0	0	0	0	0	17	0	0	0	6	0	0	283	232	0	0	10	106	0	21	0	0
19LIB028-19MET455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	579	0	0	0	0	0	0	0	0	27	0	26	0	0	634	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6995	0	0	115	0	287	112	335	0	0	8	0	0	0	0	7	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	609	0	0	0	0	547	81	785	0	98	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	969	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	203	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1243	0	0	0	1508	0	0	372	0	0
19LIB028-19MET456	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	12	0	3032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1006	16	0	0	0	71	0	0	0	486	0	0	0	0	82	0	8	0	534	0	0	19	0	70	0	51	731	0	0	0	0	0	0	0	0	14	0	11	0	1059	0	0	413	0	150	21	275	0	0	26	0	0	12	0	11	58	804	0	0	0	148	0	0	0	38	0	0	0	0	0	0	0	40	0	0	0	38	15	0	0	0	0	91	0	0	0	0	8	0	0	5	0	65	0	403	39	544	269	41	617	0	18	738	0	0	15	8808	0	0	109	0	293	427	52	64	847	0	0	270	0	0	0	0	0	1998	0	0	0	0	0	0	0	140	0	0	151	0	0	0	37	0	0	68	0	0	0	0	0	0	0	0	17	67	35	0	0	0	302	0	833	0	0	0	35	954	6	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	233	53	0	0	0	0	69	0	0	0	0	0	0	147	0	61	0	0	0	0	0	0	0	0	0	635	74	15	0	591	49	0	9	0	0
19LIB028-19MET460	0	0	0	35	0	0	0	12	0	10	0	0	0	9	0	0	22	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	9	0	0	0	0	0	0	0	163	0	6	0	0	22	0	77	0	102	0	0	0	0	110	0	52	68	19	0	0	0	0	0	0	0	0	0	21	0	1702	0	0	279	0	31	34	0	0	364	128	4	0	0	0	0	60	1076	0	290	0	0	0	0	0	2352	0	0	0	0	0	24	0	7	0	0	0	28	10	8	0	0	0	681	48	0	0	0	1048	0	0	0	0	0	0	75	26	0	257	0	298	1524	6	196	21	294	0	2378	0	0	89	0	69	225	0	0	378	0	0	67	0	0	0	0	0	173	0	0	0	0	0	13	7	153	23	16	13	0	0	121	45	0	0	0	0	0	0	223	0	53	0	8	0	18	563	0	0	0	129	0	459	0	0	0	9	187	463	0	0	0	59	0	0	0	6	0	0	0	0	0	5	0	0	0	32	32	0	71	12	0	0	0	0	0	51	0	0	0	0	0	307	0	0	0	0	0	0	46	36	0	0	68	16	0	32	0	0
19LIB028-19MET461	0	0	0	31	0	0	0	78	0	0	0	0	0	377	213	0	12	6	117	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	25	0	0	0	23	0	0	0	78	0	0	0	0	0	0	108	0	215	0	0	0	0	0	0	21	578	0	0	0	0	0	0	1468	0	120	0	29	0	0	0	0	0	0	0	67	0	0	311	15	0	0	0	0	0	0	798	0	98	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	152	0	0	0	4547	12	0	0	0	2781	0	0	0	132	23	0	28	0	0	810	60	206	229	114	68	32	0	25	3865	0	305	164	0	638	82	0	0	122	0	0	9	0	0	0	0	0	152	17	0	0	0	0	35	8	81	0	10	46	0	38	90	78	215	0	137	0	0	0	213	0	82	0	221	0	13	141	0	0	4	0	0	605	0	0	0	8	619	224	0	0	0	32	0	0	10	0	0	0	0	0	0	54	0	300	0	0	24	0	66	25	0	19	0	0	0	34	39	13	53	0	0	151	0	0	0	7	0	0	54	236	29	0	0	89	0	24	0	0
19LIB028-19MET463	0	0	11	70	0	0	0	66	0	0	0	0	0	0	0	0	19	10	417	0	10	0	0	0	0	0	0	0	0	0	0	14	0	0	28	741	13	0	0	0	157	0	0	0	0	0	0	0	0	0	0	55	0	398	11	0	49	0	12	0	51	286	5667	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	371	120	0	0	340	0	0	0	0	0	12	56	427	0	854	0	0	0	0	0	878	0	9	53	0	0	46	0	0	0	0	0	16	0	21	0	0	0	2726	46	0	0	0	1700	0	0	0	43	0	0	8	6	5	771	107	48	0	40	160	51	8	151	9092	0	36	1070	0	880	45	0	0	0	0	0	0	0	0	0	0	0	2711	8	0	0	0	0	50	4	74	12	11	32	0	36	170	10	31	0	44	0	0	0	660	0	87	0	88	18	0	327	0	0	7	0	0	1036	0	0	0	0	509	212	0	171	0	96	0	0	7	146	0	0	0	0	0	38	0	12	0	0	47	0	8	38	0	100	0	0	0	35	0	4	24	0	0	89	0	0	0	14	0	0	794	286	22	0	0	86	0	28	0	0
19LIB028-19MET472	0	0	0	33	0	0	0	32	0	0	0	0	0	90	80	0	9	27	173	0	56	0	0	0	0	0	0	0	0	0	0	9	0	0	23	667	15	0	0	0	61	0	5	0	96	0	26	0	0	14	0	41	0	0	0	0	24	0	17	0	41	1847	30	0	0	0	0	0	704	0	34	0	17	0	0	0	0	0	0	0	43	0	0	718	0	0	0	0	0	0	80	1835	0	34	0	8	0	0	0	27	0	0	27	0	0	272	0	180	0	0	0	21	7	36	0	0	0	3149	23	0	0	0	1836	0	0	14	37	2213	0	93	99	141	607	0	371	170	8	230	38	0	7	8113	0	0	6	0	97	330	8	23	259	0	0	170	0	0	0	0	0	308	19	0	0	0	0	39	0	81	59	16	32	0	0	0	27	67	0	339	0	0	0	794	0	399	0	86	0	45	754	0	0	31	0	0	2641	0	0	0	0	1093	342	0	99	0	0	0	0	9	169	0	0	0	0	0	6	0	38	0	16	87	0	19	28	0	781	0	0	0	20	0	56	16	0	0	310	0	0	0	9	0	0	444	102	14	0	8	146	0	6	0	0
19LIB028-19MET473	0	0	5	8	0	0	0	0	0	31	0	0	0	128	0	0	0	22	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1692	156	0	0	0	568	0	5	0	328	0	0	0	0	21	0	157	0	0	20	0	26	0	249	0	112	17	960	0	0	0	0	0	0	0	241	0	26	0	53	0	0	0	0	331	1216	57	0	127	472	33	0	40	0	0	132	1092	0	8	0	66	0	0	0	376	0	19	0	0	0	44	0	206	0	0	0	39	0	17	0	0	0	5794	11	0	0	0	146	0	0	12	71	998	0	422	35	76	2609	0	0	699	31	1425	124	0	63	4230	0	0	310	0	143	1016	77	23	11	0	0	19	0	0	0	0	0	395	0	0	0	0	0	5	0	26	0	8	20	0	18	984	173	21	0	121	0	0	0	221	0	29	0	0	25	28	884	0	0	0	0	0	328	0	0	0	0	435	35	0	16	0	0	0	0	0	21	0	0	0	0	0	0	0	121	0	15	19	0	17	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	162	23	0	0	209	58	0	117	0	0
19LIB028-19MET474	0	0	0	107	0	0	0	0	0	0	0	0	0	0	6	0	24	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	91	0	0	0	0	89	0	0	0	11	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	621	122	0	0	0	391	0	4469	0	0	0	0	0	0	0	0	0	0	43	187	0	0	504	0	0	0	0	0	0	15	683	0	1153	0	0	0	0	14	343	12	27	0	0	18	61	0	0	0	0	0	3	0	0	0	0	0	2627	105	0	0	0	852	0	0	0	0	90	25	0	0	0	44	11	133	318	7	0	28	0	0	7715	0	0	253	0	561	0	0	0	13	0	0	0	0	0	0	0	0	43	0	0	0	0	0	29	0	91	0	0	22	10	0	0	13	690	0	54	0	0	0	185	0	0	0	123	0	0	226	0	104	0	0	0	639	34	0	0	0	551	37	0	0	65	169	10	33	6	808	34	40	0	0	30	0	0	191	0	25	20	0	52	0	0	70	0	0	0	11	0	0	0	0	0	618	0	0	0	12	0	13	243	99	7	116	0	268	0	27	18	0
