id	Methanosphaera	Methanobrevibacter	Candidatus_Methanomethylophilus	uncultured	Pla4_lineage	Pirellula	CPla-4_termite_group	p-1088-a5_gut_group	Endomicrobium	Elusimicrobium	Absconditabacteriales_(SR1)	DEV114	LD1-PB3	WCHB1-41	Gastranaerophilales	Flexilinea	Pyramidobacter	Synergistes	Fibrobacter	Phoenicibacter	uncultured	Raoultibacter	Atopobium	uncultured	MVP-15	uncultured	Deinococcus	Corynebacterium	Microbacteriaceae Family	Brachybacterium	Arthrobacter	uncultured	uncultured	Bifidobacterium	Mailhella	Desulfovibrio	Bilophila	Desulfuromonadaceae	uncultured	d__Bacteria Kingdom	uncultured	Mitochondria	Sphingomonas	Desulfobulbus	Campylobacter	Suttonella	Pseudomonas	Pantoea	Lautropia	Parasutterella	Sutterella	Rhodocyclaceae Family	Janthinobacterium	uncultured	Kingella	Neisseria	Alysiella	Pasteurellaceae Family	Gallibacterium	Actinobacillus	Bibersteinia	Ruminobacter	Succinivibrio	uncultured	Succinatimonas	Anaerobiospirillum	Succinimonas	Succinivibrionaceae_UCG-001	Succinivibrionaceae_UCG-002	Moraxella	Psychrobacter	Alkanindiges	Acinetobacter	Stenotrophomonas	Megasphaera	Veillonellaceae_UCG-001	Schwartzia	Megamonas	uncultured	Anaerovibrio	Selenomonas	Phascolarctobacterium	WPS-2	Succiniclasticum	Streptococcus	Enterococcus	Jeotgalicoccus	Staphylococcus	Anaerofustis	Eubacterium	Clostridia Class	Christensenellaceae_R-7_group	0319-6G20	RF39	Izemoplasmataceae	Izemoplasmatales	NED5E9	Acholeplasmataceae Family	Anaeroplasma	Sharpea	Erysipelotrichaceae_UCG-002	UCG-004	Solobacterium	Erysipelotrichaceae_UCG-009	[Anaerorhabdus]_furcosa_group	uncultured	Erysipelothrix	Faecalicoccus	Catenisphaera	uncultured	JGI_0000069-P22	Fusobacterium	Caviibacter	vadinBE97	Victivallaceae	Chryseobacterium	Bergeyella	Rikenellaceae_RC9_gut_group	U29-B03	SP3-e08	Rikenellaceae Family	uncultured	F082	uncultured	uncultured	hoa5-07d05_gut_group	Bacteroidales Order	Bacteroidales_RF16_group	p-251-o5	Butyricimonas	Odoribacter	Porphyromonas	Alloprevotella	Prevotellaceae_Ga6A1_group	Prevotellaceae_UCG-004	Prevotellaceae_NK3B31_group	uncultured	Prevotellaceae Family	Prevotellaceae_YAB2003_group	Prevotella_7	Prevotellaceae_UCG-001	Prevotella	Paraprevotella	Bacteroidales_UCG-001	uncultured	Prevotellaceae	Prevotellaceae_UCG-003	Bacteroides	Parabacteroides	Barnesiella	Muribaculaceae	Bacteroidia Class	Bacteroidetes_BD2-2	Alistipes	Bacteroidales_BS11_gut_group	M2PB4-65_termite_group	CAP-aah99b04	Flavobacterium	M2PT2-76_termite_group	Treponema	Sediminispirochaeta	Mycoplasma	Paeniclostridium	Romboutsia	Amnipila	Anaerovorax	Family_XIII_UCG-001	Mogibacterium	[Eubacterium]_nodatum_group	Anaerovoracaceae Family	Family_XIII_AD3011_group	uncultured	uncultured	Clostridium_sensu_stricto_1	Clostridia_vadinBB60_group	Clostridia_UCG-014	Firmicutes Phylum	UCG-010	Monoglobus	Hungateiclostridiaceae Family	Ruminiclostridium	Saccharofermentans	Oscillospirales Order	UCG-005	UCG-007	Papillibacter	Oscillospira	Oscillibacter	UCG-002	UCG-012	Colidextribacter	V9D2013_group	uncultured	Oscillospiraceae Family	NK4A214_group	Ruminococcaceae	[Clostridium]_methylpentosum_group	Candidatus_Soleaferrea	Subdoligranulum	Ruminococcus	[Eubacterium]_coprostanoligenes_group	Incertae_Sedis	Ruminococcaceae Family	uncultured	CAG-352	Tyzzerella	Defluviitaleaceae_UCG-011	Lachnospiraceae_UCG-010	uncultured	Lachnospiraceae_UCG-001	Anaerosporobacter	Lachnospiraceae_UCG-006	Lachnospiraceae	[Eubacterium]_xylanophilum_group	Coprococcus	Lachnospiraceae_NC2004_group	[Eubacterium]_ruminantium_group	Lachnospira	[Eubacterium]_eligens_group	Lachnospiraceae_UCG-008	[Bacteroides]_pectinophilus_group	[Eubacterium]_hallii_group	Blautia	Lachnospiraceae_FE2018_group	Acetitomaculum	Lachnospiraceae_UCG-002	[Eubacterium]_cellulosolvens_group	Lachnospiraceae_ND3007_group	[Ruminococcus]_gauvreauii_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_XPB1014_group	Lachnospiraceae_AC2044_group	Roseburia	Moryella	Lachnospiraceae_NK3A20_group	FD2005	XBB1006	[Eubacterium]_oxidoreducens_group	Shuttleworthia	[Eubacterium]_ventriosum_group	Howardella	Lachnospiraceae Family	Pseudobutyrivibrio	Lachnospiraceae_FCS020_group	probable_genus_10	Lachnoclostridium	Butyrivibrio	Syntrophococcus	Oribacterium	Marvinbryantia	Lachnospiraceae_UCG-009
19LIB028-19MET551	0	0	0	51	0	0	0	17	48	0	136	14	0	794	26	23	20	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	50	0	0	384	0	0	0	0	0	0	282	1819	0	132	0	0	61	17	271	0	0	70	12	10	0	0	0	0	0	0	0	0	0	122	0	0	0	2862	26	80	0	0	559	0	0	0	0	621	6	0	0	0	0	34	103	97	197	116	23	0	484	4240	9	0	115	0	310	0	0	0	114	0	0	0	361	0	0	0	0	314	30	0	0	0	0	85	0	208	14	0	102	50	0	0	21	96	0	73	0	0	0	860	0	72	0	141	0	0	0	0	17	0	0	0	828	0	0	0	0	524	73	0	0	9	0	0	52	18	81	0	0	0	0	19	8	0	99	0	0	14	0	0	0	0	85	0	0	22	0	56	28	165	9	55	96	20	0	0	0	13	0	64	155	0	59	26	245	0	25	0	0
19LIB028-19MET553	0	0	0	39	0	0	0	0	18	0	324	4	0	786	27	0	9	0	1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	171	0	0	325	9	0	0	0	0	0	161	1013	0	133	0	0	75	14	639	0	0	83	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	1835	24	0	0	0	451	0	0	0	0	1467	0	0	0	0	0	85	68	18	352	291	69	0	618	7834	33	0	109	0	234	0	0	0	19	0	0	0	86	0	0	0	0	554	18	0	0	0	0	55	0	148	0	0	73	26	0	0	71	168	0	30	0	0	0	565	0	105	0	75	0	0	0	0	5	0	0	0	529	0	0	0	0	365	59	0	0	7	0	0	24	5	85	0	0	0	0	64	5	0	118	0	0	24	0	0	0	0	117	0	0	39	0	25	22	215	0	22	340	22	0	0	0	17	0	126	91	0	48	47	222	0	27	0	0
19LIB028-19MET554	0	84	0	76	0	0	0	13	31	0	162	12	0	875	14	0	20	0	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	11	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	27	0	0	381	6	0	0	0	0	0	203	1388	0	101	0	0	45	7	358	0	0	82	11	0	0	0	0	0	0	0	0	0	0	153	0	0	0	1575	8	31	0	0	377	0	0	0	0	863	18	0	0	0	0	24	79	52	221	294	14	0	530	4526	23	0	88	0	336	0	0	0	27	0	0	0	518	0	0	0	0	354	29	0	0	0	0	50	0	170	0	0	134	45	0	0	30	69	0	47	0	0	0	635	0	80	0	115	0	0	0	0	0	0	0	0	610	0	0	0	0	425	91	0	0	0	0	0	22	6	66	0	0	0	0	34	0	0	124	0	0	25	0	0	0	0	132	0	0	36	0	56	54	210	0	46	114	13	0	0	0	24	0	85	118	0	48	26	308	0	24	0	0
19LIB028-19MET559	0	40	0	64	0	0	0	8	0	0	55	15	0	1134	14	27	27	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	336	0	0	0	0	0	0	127	1278	0	90	0	0	53	37	451	0	0	59	0	10	0	0	0	0	0	0	0	0	0	137	0	0	0	1829	0	0	0	0	442	0	0	0	0	1360	0	0	0	0	0	29	60	18	217	311	42	0	558	4960	15	0	79	0	471	0	0	0	0	0	0	0	523	0	0	0	0	241	34	0	0	0	0	59	0	158	0	0	105	28	0	0	37	41	0	79	0	0	0	449	0	35	0	121	0	0	0	0	0	0	0	0	552	0	0	0	0	353	85	0	0	22	0	0	24	0	65	0	0	0	0	0	3	0	77	0	0	57	0	0	0	0	8	0	0	27	0	24	30	197	34	59	20	11	0	0	0	0	0	76	149	0	60	16	170	0	17	0	0
19LIB028-19MET563	0	97	0	73	0	0	0	12	31	0	33	6	0	1353	19	54	30	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	44	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	90	0	0	390	0	0	0	0	0	0	220	1260	0	49	0	0	69	36	368	0	0	56	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	2346	6	34	0	0	647	0	0	0	0	845	0	0	0	0	0	4	93	119	111	181	0	0	827	4908	64	0	114	0	133	0	0	0	34	0	0	0	239	0	0	0	0	249	26	0	0	0	0	65	0	208	9	0	16	15	0	0	59	56	0	27	0	0	0	606	0	59	0	115	0	0	0	0	0	0	0	0	552	0	0	0	0	304	81	0	0	36	0	0	24	14	66	0	0	0	0	0	6	0	80	0	0	37	0	0	0	0	88	0	0	22	0	29	20	219	26	56	84	11	0	0	0	0	0	62	135	0	34	25	168	0	7	0	0
19LIB028-19MET566	0	66	0	77	0	0	0	14	30	0	77	26	0	769	0	33	28	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	414	13	0	0	0	0	0	232	1316	0	36	0	0	73	18	358	0	0	93	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	2478	13	49	0	0	415	0	0	0	0	839	0	0	0	0	0	19	68	81	110	155	0	0	494	4171	8	0	81	0	275	0	0	0	42	0	0	0	438	0	0	0	0	304	33	0	0	0	0	93	0	197	9	0	133	29	0	0	0	50	0	57	0	0	0	531	0	94	0	157	0	0	0	0	0	0	0	0	726	0	0	0	0	238	41	0	0	14	0	0	24	0	64	0	0	0	0	10	5	0	85	0	0	55	0	0	0	0	107	0	0	15	0	48	26	200	19	69	59	21	0	0	0	0	0	78	134	0	28	28	181	0	8	0	0
19LIB028-19MET568	0	73	0	74	0	0	0	5	59	0	132	13	0	581	24	34	22	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	56	0	0	380	7	0	0	0	0	0	276	2008	0	130	0	0	36	16	381	0	0	82	0	11	0	0	0	0	0	0	0	0	0	140	0	0	0	3420	28	49	0	0	661	0	0	0	0	415	0	0	0	0	0	18	86	74	181	287	26	0	437	4372	8	0	136	0	133	0	0	0	39	0	0	0	192	0	0	0	0	248	33	0	0	0	0	89	0	307	0	0	63	31	0	0	0	177	0	75	0	0	0	600	0	91	0	199	0	0	0	0	11	0	0	0	865	0	0	0	0	287	79	0	0	22	0	0	30	8	48	0	0	0	0	21	0	0	86	0	0	45	0	0	0	0	122	0	0	11	0	43	28	202	17	78	122	39	0	0	0	11	0	80	282	0	41	33	299	0	14	0	0
19LIB028-19MET569	0	0	0	61	0	0	0	12	22	0	66	18	0	1392	0	27	18	0	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	9	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	426	16	0	0	0	0	0	301	2187	0	87	0	0	76	19	248	0	0	19	20	15	0	0	0	0	0	0	0	0	0	223	0	0	0	2312	11	27	0	0	354	0	0	0	0	1518	0	0	0	0	0	21	103	128	150	196	16	0	913	4110	21	0	112	0	276	0	0	0	37	0	0	0	458	0	0	0	0	199	37	0	0	0	0	97	0	275	11	0	59	49	0	0	43	82	0	77	0	0	0	774	0	103	0	182	0	0	0	0	0	0	0	0	837	0	0	0	0	434	131	0	0	19	0	0	33	12	76	0	0	0	0	19	12	0	111	0	0	38	0	0	0	0	120	0	0	23	0	16	78	291	16	75	137	16	0	0	0	15	0	53	238	0	49	50	447	0	27	0	0
19LIB028-19MET552	0	0	0	94	0	22	0	0	0	0	174	12	0	1095	0	36	30	0	1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	24	0	0	42	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	141	0	0	501	0	0	0	0	0	0	236	1737	0	28	0	0	61	17	378	0	0	99	23	16	0	0	0	0	0	0	0	0	0	137	0	0	0	2685	13	61	0	0	268	7	0	0	0	1055	17	0	0	0	0	13	65	11	188	318	22	0	1023	7635	4	0	145	0	600	0	0	0	0	0	0	0	530	0	0	0	0	275	52	0	2	0	0	51	0	214	50	0	53	40	0	0	42	50	0	118	23	0	0	636	0	64	0	93	0	0	46	0	0	0	0	0	826	0	0	0	0	474	105	0	0	110	0	0	27	9	50	0	0	0	0	11	0	0	156	0	0	93	0	0	0	0	190	0	0	80	0	67	32	230	29	90	63	0	0	0	0	20	0	86	149	13	63	43	152	0	10	0	0
19LIB028-19MET555	0	0	0	78	0	20	0	0	0	20	85	12	0	1281	0	39	15	0	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	12	23	0	77	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	109	0	0	401	7	0	0	0	0	0	188	1159	0	85	0	0	86	16	437	0	0	55	0	12	0	0	0	0	0	0	0	0	0	177	0	0	0	3419	5	75	0	0	360	7	0	0	0	1620	357	0	0	0	0	21	63	53	181	150	36	0	1455	5268	32	21	73	0	591	0	0	0	0	0	0	0	676	0	0	0	11	176	51	0	0	0	0	51	0	208	8	0	49	41	0	0	0	37	0	61	32	0	0	447	0	54	0	171	0	0	31	8	0	0	0	0	677	0	0	0	0	386	69	0	0	115	0	0	32	17	60	0	0	0	0	8	0	0	51	0	0	99	0	0	0	0	82	0	0	67	0	38	35	271	36	96	111	0	0	0	0	7	0	56	158	12	33	26	162	0	12	0	0
