id	Euryarchaeota	Thermoplasmatota	Planctomycetota	Elusimicrobiota	Patescibacteria	Verrucomicrobiota	Cyanobacteria	Chloroflexi	Synergistota	Fibrobacterota	Armatimonadota	Deinococcota	Actinobacteriota	Desulfobacterota	d__Bacteria Kingdom	Campylobacterota	Proteobacteria	WPS-2	Firmicutes	Bdellovibrionota	Fusobacteriota	Bacteroidota	Spirochaetota
19LIB028-19MET448	0	116	20	0	0	275	0	0	41	438	0	0	14	298	0	0	3432	0	3753	0	471	11765	401
19LIB028-19MET450	101	138	193	0	905	1504	34	0	42	253	4	0	16	277	0	127	884	0	8137	94	134	13914	646
19LIB028-19MET451	79	70	60	0	0	172	96	0	11	181	8	0	13	727	0	16	4895	0	9084	0	54	15180	1563
19LIB028-19MET459	0	0	21	0	14	114	5	0	34	191	10	0	8	513	0	13	534	0	4291	45	14	13345	359
19LIB028-19MET464	0	10	0	0	0	494	0	0	22	237	0	0	0	878	0	482	5679	0	5861	0	718	17280	649
19LIB028-19MET467	0	59	17	57	602	162	0	0	23	166	0	0	13	113	0	16	1711	0	7526	17	12	11761	333
19LIB028-19MET469	0	128	48	10	6	1162	69	0	0	86	0	0	21	296	0	189	4648	0	6812	0	22	11139	388
19LIB028-19MET470	0	75	17	52	47	80	0	0	17	434	0	0	135	252	0	95	592	0	6867	0	44	20771	510
19LIB028-19MET471	63	130	60	0	12	285	65	0	15	643	0	0	0	130	0	511	708	0	7710	7	145	15142	994
19LIB028-19MET475	0	0	0	0	0	0	0	0	10	11	0	0	5	18	0	35	2084	0	4892	0	419	3165	5
19LIB028-19MET477	110	125	79	147	767	276	82	0	17	869	8	0	0	88	0	22	401	5	9831	0	0	9906	354
19LIB028-19MET478	76	57	0	129	394	236	341	20	10	338	0	0	31	50	0	19	2064	0	6825	0	10	6951	242
19LIB028-19MET486	140	23	6	82	659	82	0	0	14	448	0	0	11	33	0	0	5109	8	7429	0	0	9849	265
19LIB028-19MET491	0	27	0	0	1037	0	85	0	8	1642	0	0	95	10	0	0	3597	0	9199	0	703	17984	235
19LIB028-19MET494	0	18	0	47	693	114	334	0	12	426	4	0	0	50	0	19	6409	0	9998	0	8	10644	236
19LIB028-19MET496	0	49	14	39	394	100	87	22	12	478	4	0	20	34	0	12	10820	8	7511	0	36	13016	429
19LIB028-19MET498	0	29	6	60	537	194	182	30	15	439	0	0	8	73	0	11	3613	0	7271	0	4	11110	197
19LIB028-19MET499	62	18	0	9	244	7	16	0	5	209	0	0	10	29	0	28	4461	0	6916	0	8	21173	46
19LIB028-19MET503	240	82	124	0	0	10	10	0	9	76	0	0	163	11	0	18	266	0	12034	0	0	18658	1267
19LIB028-19MET504	0	0	14	13	132	88	264	0	8	1070	0	0	40	16	0	10	7468	0	9800	0	0	17911	528
19LIB028-19MET505	217	8	39	0	5	73	163	0	21	750	0	0	84	63	0	13	299	0	9861	0	0	16193	682
19LIB028-19MET508	0	0	0	0	0	0	251	0	0	459	0	0	19	21	0	6	17	0	8123	0	0	26044	719
19LIB028-19MET516	0	0	34	0	0	305	477	0	7	314	0	0	10	58	0	40	1126	0	11306	0	0	10674	932
19LIB028-19MET523	12	16	15	11	125	247	229	0	20	1435	0	0	107	25	0	22	794	0	8384	0	0	14989	2316
19LIB028-19MET525	18	15	22	14	206	243	54	0	16	2325	0	0	0	52	0	36	986	0	7502	0	0	17128	1337
19LIB028-19MET526	41	11	0	0	0	0	0	0	0	0	0	0	291	393	0	7	4441	0	5936	0	0	1417	0
19LIB028-19MET527	45	13	8	0	53	20	21	0	13	205	0	0	130	136	0	7	8285	0	10284	0	0	15401	593
19LIB028-19MET551	0	51	17	48	136	930	26	23	20	774	0	0	0	30	0	0	337	0	7695	0	0	10357	344
19LIB028-19MET553	0	39	0	18	324	903	27	0	9	1033	0	0	0	12	0	0	594	0	6609	0	0	13593	572
19LIB028-19MET554	84	76	13	31	162	1040	14	0	20	780	0	0	0	30	0	0	150	0	6681	0	0	9604	383
19LIB028-19MET559	40	64	8	0	55	1286	14	27	27	700	0	0	0	33	0	0	21	0	5798	0	0	10914	275
19LIB028-19MET563	97	73	12	31	33	1430	19	54	30	169	0	0	0	27	0	0	117	0	5959	0	0	10705	275
19LIB028-19MET566	66	77	14	30	77	907	0	33	28	582	0	0	0	9	0	0	202	0	6260	0	0	9736	337
19LIB028-19MET568	73	74	5	59	132	734	24	34	22	872	0	0	0	52	0	0	75	0	7939	0	0	10562	281
19LIB028-19MET569	0	61	12	22	66	1633	0	27	18	904	0	0	0	50	0	0	121	0	8645	0	0	10763	236
