id	Euryarchaeota	Thermoplasmatota	Planctomycetota	Elusimicrobiota	Patescibacteria	Verrucomicrobiota	Cyanobacteria	Chloroflexi	Synergistota	Fibrobacterota	Armatimonadota	Deinococcota	Actinobacteriota	Desulfobacterota	d__Bacteria Kingdom	Campylobacterota	Proteobacteria	WPS-2	Firmicutes	Bdellovibrionota	Fusobacteriota	Bacteroidota	Spirochaetota
19LIB028-19MET452	94	23	85	0	0	88	18	16	77	327	0	0	15	224	0	137	3915	0	6653	0	19	20892	399
19LIB028-19MET453	0	21	106	0	0	112	11	0	371	154	0	0	4	135	0	93	1782	0	5262	68	75	10335	468
19LIB028-19MET457	0	31	12	0	0	113	43	0	21	923	0	0	0	129	0	33	1403	0	4855	0	21	12315	151
19LIB028-19MET458	0	65	35	0	0	141	0	0	12	192	0	0	0	273	0	20	292	0	4265	15	31	9415	290
19LIB028-19MET462	0	0	8	0	0	0	0	17	0	0	0	0	0	35	0	383	361	0	3384	0	20	3616	19
19LIB028-19MET465	86	325	145	0	0	2251	0	0	12	868	0	0	39	139	0	108	1197	0	9405	0	72	14672	1124
19LIB028-19MET466	65	154	20	0	0	299	0	17	31	263	0	0	4	165	0	94	2890	0	9576	0	70	17044	487
19LIB028-19MET468	54	161	8	0	0	164	0	0	12	1002	0	0	5	244	0	21	703	0	7659	19	18	11368	698
19LIB028-19MET476	107	103	70	82	5	536	873	0	23	931	0	0	0	47	181	16	165	0	7028	72	0	11283	1030
19LIB028-19MET479	0	62	31	191	204	671	432	29	20	883	0	0	0	72	55	0	308	0	7893	0	0	9381	999
19LIB028-19MET480	10	47	0	25	604	378	56	0	13	393	0	0	0	34	21	11	4436	0	5820	36	0	7798	350
19LIB028-19MET484	0	46	13	0	171	123	61	0	18	156	0	0	0	16	0	30	2756	0	6400	0	0	11016	122
19LIB028-19MET485	0	68	37	15	39	614	325	37	17	0	0	0	441	30	0	18	1090	0	5912	0	0	17881	262
19LIB028-19MET489	0	13	27	30	0	329	304	0	17	1024	0	0	25	35	0	28	491	0	7325	0	0	26698	847
19LIB028-19MET492	120	115	68	27	314	428	186	36	13	760	0	0	0	49	0	34	1443	0	9971	0	0	13958	1128
19LIB028-19MET493	9	136	123	21	460	598	301	74	23	815	0	0	64	83	64	16	1624	0	10553	22	0	10994	725
19LIB028-19MET495	67	41	86	0	0	26	119	48	27	199	0	0	0	20	0	8	602	0	5635	0	0	11874	284
19LIB028-19MET497	0	49	32	72	27	916	420	27	7	2309	0	0	30	36	0	0	608	0	8729	0	0	14101	1522
19LIB028-19MET506	0	8	46	49	69	729	466	16	10	410	0	0	109	88	21	13	162	0	7203	0	0	14607	1311
19LIB028-19MET509	0	26	7	4	54	68	169	0	17	632	0	0	7	0	0	0	1134	0	7446	0	0	12879	812
19LIB028-19MET513	0	99	25	0	7	166	14	34	13	38	0	0	38	50	16	7	3032	0	11298	0	0	19744	961
19LIB028-19MET514	0	100	30	29	67	929	224	33	31	1536	0	0	169	140	32	25	338	0	6911	0	0	27676	881
19LIB028-19MET519	0	33	22	8	121	1751	230	17	7	1934	0	0	15	11	0	19	601	0	8965	0	0	20338	1105
19LIB028-19MET521	0	17	37	7	114	629	322	0	26	2776	0	0	32	8	5	26	1494	0	10398	0	0	20040	1003
19LIB028-19MET522	0	53	12	44	35	921	213	138	26	2128	0	0	67	36	6	19	2575	0	8844	0	0	21782	1259
19LIB028-19MET524	0	89	11	0	4	1565	90	19	6	1668	0	0	111	0	7	8	212	0	7711	0	0	22677	1168
19LIB028-19MET552	0	94	22	0	174	1244	0	36	30	1274	0	0	0	51	0	0	100	0	7897	0	0	14660	327
19LIB028-19MET555	0	78	20	20	85	1470	0	39	15	1298	0	0	0	33	0	0	183	0	6469	0	0	14463	238
19LIB028-19MET556	0	89	5	16	167	1157	0	0	12	1360	0	0	0	27	0	0	1203	0	6355	0	0	9541	147
19LIB028-19MET560	0	32	4	12	60	1058	0	25	12	1565	0	0	0	30	0	0	85	0	7173	0	0	10930	387
19LIB028-19MET562	0	76	13	21	60	1332	0	0	11	1627	0	0	0	20	0	0	142	0	6403	0	0	10821	296
19LIB028-19MET564	0	38	13	0	83	1249	0	36	14	1476	0	0	0	23	0	0	174	0	6569	0	0	10216	346
19LIB028-19MET565	0	73	11	23	57	1132	0	42	19	1593	0	0	0	15	0	0	103	0	6138	0	0	11148	263
19LIB028-19MET567	0	84	5	29	130	731	0	33	22	1459	0	0	0	33	0	0	118	0	5294	0	0	8314	273
