id	Euryarchaeota	Thermoplasmatota	Planctomycetota	Elusimicrobiota	Patescibacteria	Verrucomicrobiota	Cyanobacteria	Chloroflexi	Synergistota	Fibrobacterota	Armatimonadota	Deinococcota	Actinobacteriota	Desulfobacterota	d__Bacteria Kingdom	Campylobacterota	Proteobacteria	WPS-2	Firmicutes	Bdellovibrionota	Fusobacteriota	Bacteroidota	Spirochaetota
19LIB028-19MET447	0	21	32	7	0	223	0	0	70	141	0	0	9	444	0	30	3694	0	7957	0	152	13117	71
19LIB028-19MET454	0	20	49	24	0	239	231	0	38	1094	0	0	10	1035	0	174	983	0	7156	0	53	19916	676
19LIB028-19MET455	0	0	0	0	0	0	0	0	0	0	0	0	37	579	0	27	704	0	12952	0	16	2256	0
19LIB028-19MET456	0	0	0	44	0	0	0	0	12	3032	0	0	6	1022	0	486	1591	0	7647	0	53	13723	1998
19LIB028-19MET460	0	35	12	10	0	17	0	0	26	9	0	0	0	389	0	163	477	0	9627	0	38	7680	173
19LIB028-19MET461	0	31	78	0	0	529	213	0	18	117	0	0	20	595	0	78	2562	0	5454	0	0	14252	169
19LIB028-19MET463	0	81	66	0	0	21	0	0	29	417	0	0	24	782	0	0	6694	0	8629	0	16	16993	2719
19LIB028-19MET472	0	33	32	0	0	126	80	0	36	173	0	0	65	705	0	96	2861	0	12452	0	28	18042	327
19LIB028-19MET473	0	13	0	31	0	145	0	0	22	164	0	0	15	1848	0	328	2402	0	8437	0	39	18345	395
19LIB028-19MET474	0	107	0	0	0	0	6	0	24	504	0	0	0	102	0	11	5696	0	8853	0	3	12782	43
19LIB028-19MET481	0	74	35	0	6	407	44	0	6	344	0	0	5	468	0	6	1053	0	11616	0	0	22029	176
19LIB028-19MET482	0	0	0	0	0	0	0	0	0	0	0	0	0	627	0	0	987	0	11018	0	0	477	0
19LIB028-19MET483	0	18	27	0	9	551	0	9	28	0	0	0	0	172	0	10	1706	0	10499	0	0	11450	214
19LIB028-19MET487	0	38	71	0	11	232	36	0	0	307	0	0	0	153	0	9	3811	0	9554	0	0	13206	583
19LIB028-19MET488	0	10	11	0	0	266	13	0	0	624	0	0	7	226	0	13	7166	0	7341	0	15	28225	351
19LIB028-19MET490	0	61	21	0	0	453	373	32	22	95	0	0	0	25	0	40	10973	0	6963	0	10	20491	441
19LIB028-19MET500	0	31	25	0	0	467	125	26	27	85	0	0	8	36	0	17	6138	0	5537	0	0	13513	323
19LIB028-19MET501	0	18	8	0	173	163	71	19	20	118	0	0	0	143	0	25	1992	0	6955	0	8	4898	269
19LIB028-19MET502	0	0	17	0	2	28	205	0	0	33	0	2	0	74	0	3	896	0	9554	0	0	8192	767
19LIB028-19MET510	0	13	0	0	0	133	54	0	0	913	0	0	0	102	0	12	8507	0	6267	0	0	14661	470
19LIB028-19MET511	0	49	17	0	6	97	85	21	10	2737	0	0	13	5	0	13	8228	0	8482	0	0	18016	1354
19LIB028-19MET512	0	24	75	0	0	612	143	0	10	841	0	5	17	53	0	0	271	0	9405	0	0	22620	581
19LIB028-19MET517	0	16	43	0	0	264	489	29	45	240	0	19	224	88	0	22	5229	0	8609	0	0	11836	536
19LIB028-19MET518	0	0	43	0	4	359	179	22	12	267	0	5	107	64	0	14	6214	0	10443	0	0	16578	852
19LIB028-19MET520	0	0	0	0	3	0	0	0	10	0	0	0	24	305	0	70	2092	0	1868	0	0	2159	0
19LIB028-19MET528	0	32	33	0	19	1360	396	20	36	528	0	5	39	78	0	35	530	0	8622	0	0	13601	1243
19LIB028-19MET529	0	47	10	0	0	405	352	24	16	731	0	0	298	22	0	9	791	0	10391	0	0	15843	2166
19LIB028-19MET550	0	123	39	48	139	2234	71	33	20	1696	0	0	47	13	62	0	171	0	8355	4	0	17599	612
19LIB028-19MET557	0	101	34	72	156	1252	102	38	32	1233	0	0	5	66	86	0	144	0	10187	0	0	17820	507
19LIB028-19MET558	0	43	71	24	157	1284	120	18	32	1662	0	6	39	44	0	0	157	0	9016	25	0	12253	299
19LIB028-19MET561	0	86	67	77	101	1527	176	33	35	1361	0	31	5	31	96	0	227	0	8898	18	0	13401	516
