id	Euryarchaeota	Thermoplasmatota	Planctomycetota	Elusimicrobiota	Patescibacteria	Verrucomicrobiota	Cyanobacteria	Chloroflexi	Synergistota	Fibrobacterota	Armatimonadota	Deinococcota	Actinobacteriota	Desulfobacterota	d__Bacteria Kingdom	Campylobacterota	Proteobacteria	WPS-2	Firmicutes	Bdellovibrionota	Fusobacteriota	Bacteroidota	Spirochaetota
19LIB028-19MET551	0	51	17	48	136	930	26	23	20	774	0	0	0	30	0	0	337	0	7695	0	0	10357	344
19LIB028-19MET553	0	39	0	18	324	903	27	0	9	1033	0	0	0	12	0	0	594	0	6609	0	0	13593	572
19LIB028-19MET554	84	76	13	31	162	1040	14	0	20	780	0	0	0	30	0	0	150	0	6681	0	0	9604	383
19LIB028-19MET559	40	64	8	0	55	1286	14	27	27	700	0	0	0	33	0	0	21	0	5798	0	0	10914	275
19LIB028-19MET563	97	73	12	31	33	1430	19	54	30	169	0	0	0	27	0	0	117	0	5959	0	0	10705	275
19LIB028-19MET566	66	77	14	30	77	907	0	33	28	582	0	0	0	9	0	0	202	0	6260	0	0	9736	337
19LIB028-19MET568	73	74	5	59	132	734	24	34	22	872	0	0	0	52	0	0	75	0	7939	0	0	10562	281
19LIB028-19MET569	0	61	12	22	66	1633	0	27	18	904	0	0	0	50	0	0	121	0	8645	0	0	10763	236
19LIB028-19MET552	0	94	22	0	174	1244	0	36	30	1274	0	0	0	51	0	0	100	0	7897	0	0	14660	327
19LIB028-19MET555	0	78	20	20	85	1470	0	39	15	1298	0	0	0	33	0	0	183	0	6469	0	0	14463	238
19LIB028-19MET556	0	89	5	16	167	1157	0	0	12	1360	0	0	0	27	0	0	1203	0	6355	0	0	9541	147
19LIB028-19MET560	0	32	4	12	60	1058	0	25	12	1565	0	0	0	30	0	0	85	0	7173	0	0	10930	387
19LIB028-19MET562	0	76	13	21	60	1332	0	0	11	1627	0	0	0	20	0	0	142	0	6403	0	0	10821	296
19LIB028-19MET564	0	38	13	0	83	1249	0	36	14	1476	0	0	0	23	0	0	174	0	6569	0	0	10216	346
19LIB028-19MET565	0	73	11	23	57	1132	0	42	19	1593	0	0	0	15	0	0	103	0	6138	0	0	11148	263
19LIB028-19MET567	0	84	5	29	130	731	0	33	22	1459	0	0	0	33	0	0	118	0	5294	0	0	8314	273
19LIB028-19MET550	0	123	39	48	139	2234	71	33	20	1696	0	0	47	13	62	0	171	0	8355	4	0	17599	612
19LIB028-19MET557	0	101	34	72	156	1252	102	38	32	1233	0	0	5	66	86	0	144	0	10187	0	0	17820	507
19LIB028-19MET558	0	43	71	24	157	1284	120	18	32	1662	0	6	39	44	0	0	157	0	9016	25	0	12253	299
19LIB028-19MET561	0	86	67	77	101	1527	176	33	35	1361	0	31	5	31	96	0	227	0	8898	18	0	13401	516
