id	Name	Animal	Lot	Time_cat	Time_num	Lot_x_Time	Localisation	MockAndDuplicates
#q2:types	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical
19LIB028-19MET447	9721T-3sem	9721	temoin	3	3	temoin_3	rumen	no
19LIB028-19MET448	9722M-3sem	9722	mere	3	3	mere_3	rumen	no
19LIB028-19MET449	9725P-3sem	9725	panache	3	3	panache_3	rumen	no
19LIB028-19MET450	9727M-3sem	9727	mere	3	3	mere_3	rumen	no
19LIB028-19MET451	9728M-3sem	9728	mere	3	3	mere_3	rumen	no
19LIB028-19MET452	9732P-3sem	9732	panache	3	3	panache_3	rumen	no
19LIB028-19MET453	9740P-3sem	9740	panache	3	3	panache_3	rumen	no
19LIB028-19MET454	9741T-3sem	9741	temoin	3	3	temoin_3	rumen	no
19LIB028-19MET455	9743T-3sem	9743	temoin	3	3	temoin_3	rumen	no
19LIB028-19MET456	9745T-3sem	9745	temoin	3	3	temoin_3	rumen	no
19LIB028-19MET457	9744P-3sem	9744	panache	3	3	panache_3	rumen	no
19LIB028-19MET458	9748P-3sem	9748	panache	3	3	panache_3	rumen	no
19LIB028-19MET459	9747M-3sem	9747	mere	3	3	mere_3	rumen	no
19LIB028-19MET460	9746T-3sem	9746	temoin	3	3	temoin_3	rumen	no
19LIB028-19MET461	9749T-3sem	9749	temoin	3	3	temoin_3	rumen	no
19LIB028-19MET462	9750P-3sem	9750	panache	3	3	panache_3	rumen	no
19LIB028-19MET463	9751T-3sem	9751	temoin	3	3	temoin_3	rumen	no
19LIB028-19MET464	9755M-3sem	9755	mere	3	3	mere_3	rumen	no
19LIB028-19MET465	9756P-3sem	9756	panache	3	3	panache_3	rumen	no
19LIB028-19MET466	9757P-3sem	9757	panache	3	3	panache_3	rumen	no
19LIB028-19MET467	9759M-3sem	9759	mere	3	3	mere_3	rumen	no
19LIB028-19MET468	9763P-3sem	9763	panache	3	3	panache_3	rumen	no
19LIB028-19MET469	9764M-3sem	9764	mere	3	3	mere_3	rumen	no
19LIB028-19MET470	9769M-3sem	9769	mere	3	3	mere_3	rumen	no
19LIB028-19MET471	9770M-3sem	9770	mere	3	3	mere_3	rumen	no
19LIB028-19MET472	9774T-3sem	9774	temoin	3	3	temoin_3	rumen	no
19LIB028-19MET473	2342T-3sem	2342	temoin	3	3	temoin_3	rumen	no
19LIB028-19MET474	9721T-10sem	9721	temoin	10	10	temoin_10	rumen	no
19LIB028-19MET475	9722M-10sem	9722	mere	10	10	mere_10	rumen	no
19LIB028-19MET476	9725P-10sem	9725	panache	10	10	panache_10	rumen	no
19LIB028-19MET477	9727M-10sem	9727	mere	10	10	mere_10	rumen	no
19LIB028-19MET478	9728M-10sem	9728	mere	10	10	mere_10	rumen	no
19LIB028-19MET479	9732P-10sem	9732	panache	10	10	panache_10	rumen	no
19LIB028-19MET480	9740P-10sem	9740	panache	10	10	panache_10	rumen	no
19LIB028-19MET481	9741T-10sem	9741	temoin	10	10	temoin_10	rumen	no
19LIB028-19MET482	9743T-10sem	9743	temoin	10	10	temoin_10	rumen	no
19LIB028-19MET483	9745T-10sem	9745	temoin	10	10	temoin_10	rumen	no
19LIB028-19MET484	9744P-10sem	9744	panache	10	10	panache_10	rumen	no
19LIB028-19MET485	9748P-10sem	9748	panache	10	10	panache_10	rumen	no
19LIB028-19MET486	9747M-10sem	9747	mere	10	10	mere_10	rumen	no
19LIB028-19MET487	9746T-10sem	9746	temoin	10	10	temoin_10	rumen	no
19LIB028-19MET488	9749T-10sem	9749	temoin	10	10	temoin_10	rumen	no
19LIB028-19MET489	9750P-10sem	9750	panache	10	10	panache_10	rumen	no
19LIB028-19MET490	9751T-10sem	9751	temoin	10	10	temoin_10	rumen	no
19LIB028-19MET491	9755M-10sem	9755	mere	10	10	mere_10	rumen	no
19LIB028-19MET492	9756P-10sem	9756	panache	10	10	panache_10	rumen	no
19LIB028-19MET493	9757P-10sem	9757	panache	10	10	panache_10	rumen	no
19LIB028-19MET494	9759M-10sem	9759	mere	10	10	mere_10	rumen	no
19LIB028-19MET495	9763P-10sem	9763	panache	10	10	panache_10	rumen	no
19LIB028-19MET496	9764M-10sem	9764	mere	10	10	mere_10	rumen	no
19LIB028-19MET497	9725P-13sem	9725	panache	13	13	panache_13	rumen	no
19LIB028-19MET498	9769M-10sem	9769	mere	10	10	mere_10	rumen	no
19LIB028-19MET499	9770M-10sem	9770	mere	10	10	mere_10	rumen	no
19LIB028-19MET500	9774T-10sem	9774	temoin	10	10	temoin_10	rumen	no
19LIB028-19MET501	2342T-10sem	2342	temoin	10	10	temoin_10	rumen	no
19LIB028-19MET502	9721T-13sem	9721	temoin	13	13	temoin_13	rumen	no
19LIB028-19MET503	9722M-13sem	9722	mere	13	13	mere_13	rumen	no
19LIB028-19MET504	9755M-13sem	9755	mere	13	13	mere_13	rumen	no
19LIB028-19MET505	9727M-13sem	9727	mere	13	13	mere_13	rumen	no
19LIB028-19MET506	9732P-13sem 1	9732	panache	13	13	panache_13	rumen	no
19LIB028-19MET507	9732P-13sem 2	9732	panache	13	13	panache_13	rumen	yes
19LIB028-19MET508	9728M-13sem	9728	mere	13	13	mere_13	rumen	no
19LIB028-19MET509	9740P-13sem	9740	panache	13	13	panache_13	rumen	no
19LIB028-19MET510	9741T-13sem	9741	temoin	13	13	temoin_13	rumen	no
19LIB028-19MET511	9751T-13sem	9751	temoin	13	13	temoin_13	rumen	no
19LIB028-19MET512	9745T-13sem	9745	temoin	13	13	temoin_13	rumen	no
19LIB028-19MET513	9744P-13sem	9744	panache	13	13	panache_13	rumen	no
19LIB028-19MET514	9748P-13sem 1	9748	panache	13	13	panache_13	rumen	no
19LIB028-19MET515	9748P-13sem 2	9748	panache	13	13	panache_13	rumen	yes
19LIB028-19MET516	9747M-13sem	9747	mere	13	13	mere_13	rumen	no
19LIB028-19MET517	9746T-13sem	9746	temoin	13	13	temoin_13	rumen	no
19LIB028-19MET518	9749T-13sem	9749	temoin	13	13	temoin_13	rumen	no
19LIB028-19MET519	9750P-13sem	9750	panache	13	13	panache_13	rumen	no
19LIB028-19MET520	9743T-13sem	9743	temoin	13	13	temoin_13	rumen	no
19LIB028-19MET521	9756P-13sem	9756	panache	13	13	panache_13	rumen	no
19LIB028-19MET522	9757P-13sem	9757	panache	13	13	panache_13	rumen	no
19LIB028-19MET523	9759M-13sem	9759	mere	13	13	mere_13	rumen	no
19LIB028-19MET524	9763P-13sem	9763	panache	13	13	panache_13	rumen	no
19LIB028-19MET525	9764M-13sem	9764	mere	13	13	mere_13	rumen	no
19LIB028-19MET526	9769M-13sem	9769	mere	13	13	mere_13	rumen	no
19LIB028-19MET527	9770M-13sem	9770	mere	13	13	mere_13	rumen	no
19LIB028-19MET528	9774T-13sem	9774	temoin	13	13	temoin_13	rumen	no
19LIB028-19MET529	2342T-13sem	2342	temoin	13	13	temoin_13	rumen	no
