id	Name	Animal	Lot	Time_cat	Time_num	Lot_x_Time	Localisation	MockAndDuplicates	EDE_vache	Race	Sexe	Date_naissance	Date_reelle_passage_parc_mere	S3	Date_sevrage_reel	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	VFA totaux	VFAt_Acetate	VFAt_propionate	VFAt_isobutyrate	VFAt_butyrate	VFAt_isovalerate	VFAt_valerate	VFAt_caproate	velage	DIM	igG_Matin	Lactoferrin_Matin	igG_soir	Lactoferrin_soir
19LIB028-19MET447	9721T-3sem	9721	temoin	3	3	temoin_3	rumen	no	6722	Ho	F	12-févr-19	21-févr-19	19-mars-19	30-avr-19	21,78	2,38	0,24	1,14	0,38	0,16	0,07	26,1455	0,832915798	0,090952554	0,009236771	0,009236771	0,014476679	0,187293842	0,786124159	NA	NA	NA	NA	NA	NA
19LIB028-19MET448	9722M-3sem	9722	mere	3	3	mere_3	rumen	no	6614	Ho	F	12-févr-19	18-févr-19	19-mars-19	30-avr-19	20,5	3,11	0,2	0,75	0,28	0,07	0,04	24,947	0,821641881	0,124764501	0,007976911	0,007976911	0,011404177	0,083369655	0,312588916	12/02/2019	23	655	19	560	61
19LIB028-19MET449	9725P-3sem	9725	panache	3	3	panache_3	rumen	no	5690	Ho	F	22-févr-19	01-mars-19	19-mars-19	14-mai-19	36,93	5,53	0,51	2,47	0,84	0,25	0,04	33,253	0,7965146	0,148603134	0,008179713	0,008179713	0,017141311	0,157561456	0,15813933	22/02/2019	13	560	278	670	192
19LIB028-19MET450	9727M-3sem	9727	mere	3	3	mere_3	rumen	no	4168	Ho	F	27-févr-19	04-mars-19	02-avr-19	14-mai-19	14,19	1,43	0,13	0,43	0,18	0,04	0,01	16,405	0,86516306	0,087046632	0,007863456	0,007863456	0,010911308	0,044500282	0,14360119	26/02/2019	24	385	98	550	48
19LIB028-19MET451	9728M-3sem	9728	mere	3	3	mere_3	rumen	no	6742	Ho	F	27-févr-19	05-mars-19	02-avr-19	14-mai-19	34,52	5,89	0,33	1,58	0,55	0,18	0,01	43,0455	0,801930515	0,136843572	0,007654691	0,007654691	0,012661021	0,220093882	0,069422333	27/02/2019	23	200	231	NA	242
19LIB028-19MET452	9732P-3sem	9732	panache	3	3	panache_3	rumen	no	6718	Ho	F	04-mars-19	10-mars-19	02-avr-19	11-juin-19	26,49	4,94	0,27	0,83	0,57	0,13	0,02	22,6175	0,842732397	0,115751078	0,009638554	0,009638554	0,015784238	0,041531571	0,08207267	04/03/2019	18	625	27	510	6
19LIB028-19MET453	9740P-3sem	9740	panache	3	3	panache_3	rumen	no	7639	Mo	F	15-mars-19	20-mars-19	16-avr-19	28-mai-19	19,06	2,62	0,22	0,32	0,36	0,04	0,01	32,4355	0,747221409	0,215627939	0,005241171	0,005241171	0,008909991	0,186691653	0,032463326	14/03/2019	21	280	64	315	69
19LIB028-19MET454	9741T-3sem	9741	temoin	3	3	temoin_3	rumen	no	6728	Mo	M - Fem	18-mars-19	27-mars-19	16-avr-19	28-mai-19	43,78	7,39	0,36	1,45	0,44	0,27	0,06	53,743	0,814627021	0,13753419	0,006633422	0,006633422	0,008103381	0,333895136	0,41080694	17/03/2019	18	510	41	515	82
19LIB028-19MET455	9743T-3sem	9743	temoin	3	3	temoin_3	rumen	no	7641	Mo	F	19-mars-19	27-mars-19	16-avr-19	SORTIE	46,63	21,44	1,83	39,27	2,36	13,64	1,07	126,2405	0,369350565	0,169854365	0,014500101	0,014500101	0,018654869	36,93374613	6,311289075	18/03/2019	17	345	318	315	176
19LIB028-19MET456	9745T-3sem	9745	temoin	3	3	temoin_3	rumen	no	3647	Mo	M - Fem	24-mars-19	02-avr-19	16-avr-19	28-mai-19	31,5	12,37	0,8	3,72	1	0,7	0,05	50,138	0,628295903	0,246619331	0,015985879	0,015985879	0,019984842	1,111737314	0,202741609	23/03/2019	12	595	94	510	53
19LIB028-19MET457	9744P-3sem	9744	panache	3	3	panache_3	rumen	no	5704	Mo	M - Fem	21-mars-19	28-mars-19	16-avr-19	28-mai-19	24,24	6,99	0,17	0,6	0,29	0,14	0,01	36,4135	0,802161286	0,138053195	0,00996883	0,00996883	0,016024277	0,208187559	0,090544808	21/03/2019	14	855	13	NA	112
19LIB028-19MET458	9748P-3sem	9748	panache	3	3	panache_3	rumen	no	7622	Mo	F	31-mars-19	06-avr-09	30-avr-19	09-juil-19	29,21	5,03	0,36	1,05	0,58	0,17	0,01	33,4115	0,612438831	0,2985499	0,01125361	0,01125361	0,012765066	0,743747746	0,048568095	31/03/2019	18	490	48	580	81
19LIB028-19MET459	9747M-3sem	9747	mere	3	3	mere_3	rumen	no	7628	Mo	F	31-mars-19	06-avr-19	30-avr-19	11-juin-19	32,51	5,32	0,36	1,25	0,53	0,17	0	40,1405	0,809818014	0,132422366	0,009030779	0,009030779	0,013265904	0,209923708	0,015103189	31/03/2019	18	580	64	NA	49
19LIB028-19MET460	9746T-3sem	9746	temoin	3	3	temoin_3	rumen	no	3613	Mo	M - Fem	29-mars-19	07-avr-19	30-avr-19	11-juin-19	16,2	3,52	0,48	2,03	1,07	0,56	0,19	24,034	0,673857868	0,146251144	0,020138138	0,020138138	0,044457851	0,826583804	1,264947368	28/03/2019	21	200	39	200	30
19LIB028-19MET461	9749T-3sem	9749	temoin	3	3	temoin_3	rumen	no	4180	Ho	F	02-avr-19	10-avr-19	30-avr-19	25-juin-19	33,69	4,62	0,28	1,66	0,38	0,19	0,04	40,849	0,82462239	0,113197385	0,006744351	0,006744351	0,009400475	0,224951447	0,331279736	01/04/2019	17	360	11	340	17
19LIB028-19MET462	9750P-3sem	9750	panache	3	3	panache_3	rumen	no	6640	Ho	F	03-avr-19	09-avr-19	30-avr-19	11-juin-19	20,46	9,98	0,38	1,7	0,43	0,46	0,01	30,273	0,861014766	0,087503716	0,004459419	0,004459419	0,009150068	0,101043563	0,228561721	03/04/2019	15	685	49	625	43
19LIB028-19MET463	9751T-3sem	9751	temoin	3	3	temoin_3	rumen	no	3154	Ho	M - Fem	06-avr-19	12-avr-19	30-avr-19	25-juin-19	23,62	5,33	0,33	0,8	0,62	0,17	0,03	30,8975	0,764576422	0,172344041	0,010615746	0,010615746	0,020163444	0,224961162	0,165366901	05/04/2019	13	615	20	715	38
19LIB028-19MET464	9755M-3sem	9755	mere	3	3	mere_3	rumen	no	5611	Ho	F	09-avr-19	15-avr-19	14-mai-19	25-juin-19	24,83	3,69	0,26	0,64	0,26	0,11	0	29,793	0,833266203	0,123988856	0,008693317	0,008693317	0,008827577	0,126010151	0,032260964	09/04/2019	23	570	9	200	68
19LIB028-19MET465	9756P-3sem	9756	panache	3	3	panache_3	rumen	no	4165	Ho	F	11-avr-19	17-avr-19	14-mai-19	25-juin-19	26,07	2,65	0,14	1,04	0,28	0,09	0,02	14,331	0,80964343	0,103447073	0,002651594	0,002651594	0,005303189	0,067931138	0,096667791	11/04/2019	21	795	3	530	11
19LIB028-19MET466	9757P-3sem	9757	panache	3	3	panache_3	rumen	no	5722	Ho	F	11-avr-19	17-avr-19	14-mai-19	09-juil-19	11,6	1,48	0,04	1,07	0,08	0,06	0,01	70,286	0,819814757	0,131512677	0,001216458	0,001216458	0,002020317	0,248226808	0,053226808	11/04/2019	21	630	24		82
19LIB028-19MET467	9759M-3sem	9759	mere	3	3	mere_3	rumen	no	3161	Ho	F	14-avr-19	21-avr-19	14-mai-19	25-juin-19	42,42	5,9	0,4	1,43	0,53	0,13	0,01	50,803	0,83489164	0,116105348	0,007853867	0,007853867	0,010442297	0,149720028	0,043064338	14/04/2019	18	685	124	580	109
